fatigue_level,active_curvature,S_lat,cobb_angle
0.0,5.0,0.9667163487408467,50.11205386199893
0.5,4.5,0.2990361540491497,17.564282202976916
1.0,4.0,0.3064736333775117,38.72340583079667
1.5,3.5,0.3439943078442241,10.038574146748429
2.0,3.0,0.29691221196673934,39.45609785280162
2.5,2.5,0.22350608272499137,39.339102038464866
3.0,2.0,0.18103797076324907,25.788028020447832
3.5,1.5,0.16339551493462987,16.870690309325724
4.0,1.0,0.049201334383445525,15.689417011807187
4.5,0.5,0.07423726391397027,5.892491311601199
