frequency,runtime_sec,peak_memory_mb,success,error,max_dynamic_lat,max_curvature,max_torsion,end_to_end_distance,S_lat,cobb_angle,z_tip,x_tip,y_tip,bending_energy,shear_energy,translational_energy,rotational_energy,gravitational_energy
0.5,4.70737361907959,15.53260326385498,True,,0.0010800295786348607,28.032876505441276,0.07596308803291771,0.3356298535221838,0.003233891024120868,0.3176912762333541,0.33397216250614575,0.0010800295786348607,0.03329905077326319,0.01993321568866498,0.00043939862980918806,3.849436892757173e-05,3.6837635726879016e-08,0.20636816558570711
0.75,3.051903009414673,0.2578868865966797,True,,0.0011349780066934327,29.021674993904586,0.0757577077076668,0.32982681028874095,0.00345890627283896,0.3186742731882439,0.32813205018182784,0.0011349780066934327,0.033373556203075666,0.021115978304289126,0.0004556378395456955,3.727568593437659e-05,3.197062056742014e-08,0.20258335627107527
1.0,3.065941572189331,0.26001548767089844,True,,0.0010958907139530921,28.19892937716194,0.07566972267778793,0.33439432773453115,0.003293949934718428,0.3191222320752325,0.3326980481404222,0.0010958907139530921,0.033621038177388256,0.019936290033748867,0.0004378522371533501,4.054444618608926e-05,3.486171008729097e-08,0.2055751984520647
1.25,3.0900471210479736,0.2558135986328125,True,,0.0011289500305196932,28.891361858876056,0.07563342663349375,0.3307055912215637,0.0034312187216660435,0.31883651411309405,0.3290230446083386,0.0011289500305196932,0.03329789263139305,0.02087899169808793,0.00045780607834680365,3.525863364899496e-05,3.233965577637315e-08,0.20316327656632355
1.5,3.1198248863220215,0.2567176818847656,True,,0.0011018958244643582,28.290464760723676,0.07568927608687125,0.3338227540191847,0.0033177195168355316,0.3194846461253102,0.3321244664815293,0.0011018958244643582,0.033611838552876465,0.020023329796796954,0.0004353155627957744,4.277195700896014e-05,3.3942577465187354e-08,0.2052056187012884
1.75,3.0707595348358154,0.25318145751953125,True,,0.0011258361397903838,28.818080957910944,0.07556335561823488,0.3311429212532992,0.0034172052569689674,0.31888922219818583,0.3294610815356731,0.0011258361397903838,0.03331309866253234,0.020746038701271282,0.0004607335171592485,3.3879600865113374e-05,3.260660667198749e-08,0.20345046539214914
2.0,3.034355878829956,0.2530403137207031,True,,0.0011048952912407722,28.346288101481424,0.0757030096568982,0.33350969097439515,0.0033298812880822705,0.31963127055431656,0.33181221660820776,0.0011048952912407722,0.033587886057025625,0.02008679123469936,0.0004322936754974703,4.516922890818168e-05,3.3412070335665714e-08,0.20500248636460736
2.25,3.042330741882324,0.25344276428222656,True,,0.0011239696330850835,28.771921945853016,0.07553654931940922,0.3313959424179381,0.0034089275523853445,0.31891116928565955,0.32971355824168314,0.0011239696330850835,0.0333313194300121,0.020666586885586515,0.00046409368479487446,3.28667655692959e-05,3.2834189220298075e-08,0.20361637120112583
2.5,3.110194683074951,0.2537040710449219,True,,0.0011066477795378302,28.383145303203307,0.07570512328770512,0.3333165908915548,0.0033370957975399906,0.31970117651591484,0.3316200213232172,0.0011066477795378302,0.03356913093675659,0.020131072380293755,0.00042895757664846736,4.778903952907579e-05,3.304538560327409e-08,0.20487699121861175
2.75,3.091785430908203,0.2532482147216797,True,,0.0011227636066638096,28.7406876347075,0.07552770691631638,0.33155751397624733,0.003403607794706284,0.3189214590507401,0.3298745549972214,0.0011227636066638096,0.03334520117465411,0.0206149781025001,0.0004678039754763257,3.212272808754734e-05,3.304153794988104e-08,0.2037221984909877
3.0,3.015908718109131,0.2555866241455078,True,,0.0011077648877506683,28.40891883045746,0.07570277788128246,0.33318795742160284,0.003341753544943759,0.3197402415325489,0.3314920962459282,0.0011077648877506683,0.03355559497630174,0.0201629219711114,0.00042534661959869977,5.067574799247348e-05,3.2757959983739795e-08,0.20479335639479654
3.25,3.031071662902832,0.2519187927246094,True,,0.0011219504365172824,28.718443980563862,0.07552553905793413,0.3316674481379505,0.003400014035449616,0.318923505621885,0.32998406030665584,0.0011219504365172824,0.03335501948869766,0.020579277427905367,0.0004718688404781258,3.161621199444246e-05,3.3238736621722335e-08,0.2037941113950562
3.5,3.0362508296966553,0.25768375396728516,True,,0.0011085106065530789,28.427738152822343,0.0756996242142611,0.3330978349701722,0.0033449072856005053,0.31976728889064343,0.3314024909823681,0.0011085106065530789,0.03354590640797566,0.02018662149039829,0.00042145038230778333,5.387182788128226e-05,3.2511864751378056e-08,0.2047347903068109
3.75,3.054750442504883,0.25377845764160156,True,,0.0011213917776629282,28.70199077949672,0.07552546877971648,0.33174532162202824,0.003397522119613947,0.3189181123865775,0.3300616561667447,0.0011213917776629282,0.03336171498963382,0.020553417958035027,0.00047633307215130263,3.134132236801513e-05,3.343250194270668e-08,0.20384495931734262
4.0,3.0519204139709473,0.2525491714477539,True,,0.0011090163227154145,28.441937818029107,0.07569706553522931,0.33303262689988794,0.003347088203754682,0.31979103335709375,0.33133764490321677,0.0011090163227154145,0.03353901806293329,0.020204767248484367,0.0004172344617857258,5.742209807897066e-05,3.22875277414585e-08,0.20469247502382606
