frequency,runtime_sec,peak_memory_mb,success,error,max_dynamic_lat,max_curvature,max_torsion,end_to_end_distance,S_lat,cobb_angle,z_tip,x_tip,y_tip,bending_energy,shear_energy,translational_energy,rotational_energy,gravitational_energy,input_noise_std
2.0,13.889198064804077,15.545495986938477,True,,0.0031373363261358767,31.217915793162813,0.03657307057981165,0.28166809382389263,0.02912315857337491,1.7761464323048952,0.08837112929515296,0.003109275551630243,0.2674281043402667,0.015068603548420259,0.000449854187566865,0.00019644606095501035,2.4297629429169234e-07,0.0743779885744397,0.0
2.0,12.520136833190918,0.42780303955078125,True,,0.0031373232587618913,31.217411432709206,0.036573029460850275,0.2816706218039193,0.02912278231445967,1.7758763458938929,0.08838397006057022,0.0031092625480491575,0.26742652357263674,0.015068175949415931,0.00045016189000605906,0.00019681683842023894,2.431743454516406e-07,0.07438255057731818,0.010526315789473684
2.0,10.540053606033325,0.426971435546875,True,,0.0031373366165559045,31.21760056752027,0.03657866893197853,0.281663903723825,0.029126087404504515,1.7765993977842671,0.0883323279628292,0.003109301540524813,0.2674365097393051,0.015077475190361813,0.0004476791749222662,0.00019455866859109346,2.413857548351087e-07,0.07435802285508622,0.021052631578947368
2.0,11.412440061569214,0.427001953125,True,,0.0031373958145194812,31.217589379610235,0.036582227623558214,0.28166904672111864,0.02912250786203002,1.7754213173502158,0.08840840927907505,0.003109299333710687,0.2674167857618154,0.015068866330557134,0.00045013280453744747,0.0001977757887057463,2.432291644750402e-07,0.07439025366803999,0.031578947368421054
2.0,10.519118785858154,0.42603397369384766,True,,0.0031373129382161716,31.217943377709258,0.036572409320430495,0.28167356666872384,0.02912090454542943,1.7762268579589047,0.0883835662449641,0.0031093273476709335,0.2674297579947809,0.015061195956990884,0.0004469804058819446,0.00019203363216013143,2.418476590369823e-07,0.07439108597550953,0.042105263157894736
2.0,14.838079690933228,0.42566680908203125,True,,0.003137538681890863,31.21819239971528,0.03658801747247923,0.28165076630931296,0.029129126404017276,1.7770983854783202,0.08829636531352424,0.003109350770119762,0.26743454895138785,0.01508344057319138,0.0004515431465316903,0.00019716491741490945,2.4411281827316403e-07,0.07433799234978386,0.05263157894736842
2.0,10.24149751663208,0.42609500885009766,True,,0.0031373548395157965,31.21784749828567,0.03657970142477053,0.28166730218280367,0.029127603593120756,1.77639221462178,0.08835065518871826,0.0031094620168027995,0.2674340331607574,0.01507678788389854,0.0004488207968669612,0.00019506024274838334,2.412297441132906e-07,0.07436383644704479,0.06315789473684211
2.0,9.749435901641846,0.42568206787109375,True,,0.003137357507935961,31.21505375193622,0.036588023951662225,0.28164679574351603,0.02912970268242209,1.7772111986778103,0.08826343793531494,0.0031092086435806016,0.26744123821512517,0.015087930000379442,0.0004557679881256549,0.00019961865747122198,2.5007625632744515e-07,0.07432120868419956,0.07368421052631578
2.0,11.26036548614502,0.42647552490234375,True,,0.0031368814275520174,31.215060719694286,0.03656268746192382,0.2816792263095316,0.029122272749886248,1.7750275447394845,0.08840827617975779,0.003109073770694893,0.26742755448447786,0.015070701573785492,0.00045432212936695395,0.00020148262366766586,2.450879462485275e-07,0.07438576444684392,0.08421052631578947
2.0,10.05876612663269,0.4265785217285156,True,,0.0031372068140213516,31.224207306268827,0.036531421866599224,0.28166497507955995,0.029115765826225427,1.7768139693413043,0.08838039683808008,0.0031090011840714748,0.26742176005880686,0.015054356490816037,0.00044509108955254176,0.00019547113136958902,2.390130091083563e-07,0.07439676231745156,0.09473684210526316
2.0,9.992796659469604,0.4252471923828125,True,,0.0031371513403319518,31.218328607131493,0.036569885577245186,0.2816670723911616,0.029125369482339545,1.7770519227947643,0.0883328578868006,0.003109444826883127,0.2674396702806574,0.01506591789609456,0.00045159800706278915,0.0001962698434891393,2.446577494469182e-07,0.07436653117124158,0.10526315789473684
2.0,10.039123773574829,0.4246826171875,True,,0.003137827103501645,31.2127795123795,0.0366104356224707,0.2816639924522051,0.02913149259106123,1.7764753074474005,0.0883158638250243,0.0031096440502171308,0.267442036626325,0.015084378194542334,0.0004510152736986146,0.0001986683547016122,2.451128903912357e-07,0.07434490537731475,0.11578947368421053
2.0,10.011316776275635,0.42572784423828125,True,,0.0031374502175447023,31.216982653271987,0.036580588682169436,0.2816462459022498,0.029124597009641765,1.7769293430765525,0.08830954236843977,0.0031091699608625893,0.26742543936518415,0.015072421642777025,0.000458446581672887,0.00019871480837018363,2.528280056500293e-07,0.07434974146404341,0.12631578947368421
2.0,10.270760536193848,0.42752838134765625,True,,0.0031376856005125085,31.21495230938195,0.03659849091974752,0.28165257698627694,0.029138341991141088,1.7783075772346144,0.08821686524858133,0.0031098527718062484,0.26746268454582967,0.015093764325528452,0.0004508582063954053,0.00019769104766569653,2.441634204560105e-07,0.07430248483329402,0.1368421052631579
2.0,9.985821962356567,0.4250755310058594,True,,0.003137184933069187,31.212666660398032,0.03660064077326685,0.28168068672755925,0.029134119982900747,1.7757499587383845,0.08834802896487129,0.003109721429607612,0.26744899455029153,0.01508552897017504,0.0004535039328509142,0.00020749003891348182,2.422665844949879e-07,0.07435152125862139,0.14736842105263157
2.0,9.406569480895996,0.42499542236328125,True,,0.0031375749411477706,31.223736131460946,0.03654276675850488,0.2816472657519471,0.029121088941602192,1.778570519691256,0.08825307749750756,0.003108856381257447,0.2674451563026849,0.015070733132150021,0.00044501498141304055,0.00019529569087744781,2.393451882024486e-07,0.0743387595464414,0.15789473684210525
2.0,9.879329681396484,0.42452239990234375,True,,0.003137258143242293,31.222563527255506,0.036528922255404,0.28168874970984215,0.029107297385879104,1.7744728346555834,0.08854109429575004,0.00310894545537156,0.2673936438888567,0.01503077709330078,0.000447941888929444,0.00020048558937192862,2.3809311221182695e-07,0.07447045335488191,0.16842105263157894
2.0,9.733758449554443,0.4232940673828125,True,,0.0031363003530146963,31.21200507200052,0.036557408182948475,0.28171480085431805,0.029104409097044766,1.7704766423611895,0.08868343322249743,0.003108691464376316,0.26737392118461784,0.015043696427277257,0.000450768234241085,0.00019244634461931093,2.5041989740974916e-07,0.07450804064018159,0.17894736842105263
2.0,9.700201749801636,0.42743778228759766,True,,0.003138002612374895,31.217369957371936,0.03660730580786971,0.28159734631754874,0.02913593710368512,1.780651173472691,0.08806439489435935,0.0031091294977772747,0.2674547833162493,0.015092064451940064,0.00047164077238834946,0.00021558284185266085,2.5935517433672136e-07,0.07424012489521309,0.18947368421052632
2.0,9.824379444122314,0.42475128173828125,True,,0.0031368655945417747,31.219852506212263,0.03650997616314726,0.2816738000493407,0.029117076625807276,1.7767946829194907,0.08833606179847674,0.003108595466166381,0.2674457074892012,0.015059540312839636,0.00045424033945493857,0.0001987011855966733,2.4160469597889684e-07,0.074370565212617,0.2
