time_of_day,locomotor_freq,max_lateral_dev
0.0,0.5,0.003272382901093769
4.0,0.5,0.0027379869077726877
8.0,0.5,0.0018465505355183304
12.0,0.5,0.0015167641850982326
16.0,0.5,0.0018465505355183304
20.0,0.5,0.0027379869077726877
24.0,0.5,0.003272382901093769
0.0,1.0,0.0028212328420778826
4.0,1.0,0.0023818606091789447
8.0,1.0,0.0016263125981299407
12.0,1.0,0.0013437859861663954
16.0,1.0,0.0016263125981299407
20.0,1.0,0.0023818606091789447
24.0,1.0,0.0028212328420778826
0.0,1.5,0.0031024402043492265
4.0,1.5,0.0026013331269628746
8.0,1.5,0.001756702726281952
12.0,1.5,0.001447989226722273
16.0,1.5,0.001756702726281952
20.0,1.5,0.0026013331269628746
24.0,1.5,0.0031024402043492265
0.0,2.0,0.002902542092573102
4.0,2.0,0.0024439135326116677
8.0,2.0,0.0016537026481973239
12.0,2.0,0.0013587836333443252
16.0,2.0,0.0016537026481973239
20.0,2.0,0.0024439135326116677
24.0,2.0,0.002902542092573102
0.0,2.5,0.0030616857806409314
4.0,2.5,0.0025726737049833488
8.0,2.5,0.0017415725844014142
12.0,2.5,0.001436903758662233
16.0,2.5,0.0017415725844014142
20.0,2.5,0.0025726737049833488
24.0,2.5,0.0030616857806409314
0.0,3.0,0.0029378224485484
4.0,3.0,0.0024733876921825782
8.0,3.0,0.0016717645542401046
12.0,3.0,0.001372014258122893
16.0,3.0,0.0016717645542401046
20.0,3.0,0.0024733876921825782
24.0,3.0,0.0029378224485484
0.0,3.5,0.003037772271790038
4.0,3.5,0.002554354385719635
8.0,3.5,0.0017295812187836136
12.0,3.5,0.0014263367883294432
16.0,3.5,0.0017295812187836136
20.0,3.5,0.002554354385719635
24.0,3.5,0.003037772271790038
0.0,4.0,0.0029590199093254515
4.0,4.0,0.0024919991399438225
8.0,4.0,0.0016863569333630491
12.0,4.0,0.001385098308299818
16.0,4.0,0.0016863569333630491
20.0,4.0,0.0024919991399438225
24.0,4.0,0.0029590199093254515
