timestamp,scenario_name,description,stiffness_anisotropy,chi_kappa,chi_tau,chi_E,boundary_condition,max_curvature,max_torsion,y_tip,s_lat,cobb_angle,runtime_sec,peak_memory_mb,end_to_end_distance
2026-02-08T14:36:24.795810,Control,Baseline healthy parameters.,2.0,5.0,0.0,0.0,fixed,2.6901500961927267,0.34897015919591384,-0.013009720142564267,0.013291924136705132,2.7473041616596205,5.1704,14.57,0.49615796769722
2026-02-08T14:36:27.880715,Fibrillin_Loss,Reduced anisotropy due to ECM degradation (e.g. Marfan).,1.0,5.0,0.0,0.0,fixed,2.655862011101019,0.19720158049203884,-0.007102177551244355,0.013196641510118514,2.7185962324964907,3.0835,0.09,0.4966312483154876
2026-02-08T14:36:30.729787,Piezo2_Gain,Enhanced mechanosensation driving active correction.,2.0,15.0,0.0,0.0,fixed,7.899411211070079,0.9958123414368216,-0.01270782266837779,0.03961162881336044,8.073705673977077,2.8479,0.08,0.48956917606554073
2026-02-08T14:36:33.671873,Vector_Scalar_Mismatch,High structural anisotropy but conflicting scalar gain (e.g. Microgravity).,5.0,20.0,0.0,0.0,fixed,10.782090626764926,2.194687102444677,-0.025667050118367393,0.054312974163483733,11.147075705056352,2.941,0.08,0.4818196279340321
2026-02-08T14:36:36.634852,Torsional_Instability,Presence of torsional coupling (e.g. Planar Cell Polarity defect).,2.0,5.0,5.0,0.0,fixed,2.734790589240563,2.1663111704059053,-0.012752215331350028,0.013202547018687536,2.9996569083038285,2.9617,0.08,0.4961487184496154
2026-02-08T14:36:39.467860,Stiffening_Response,Tissue stiffens in response to information density.,2.0,5.0,0.0,1.0,fixed,2.9258377846165025,0.38655790162491455,-0.018686378241321022,0.01613153121003794,3.2131298498029683,2.8318,0.08,0.4971030943776772
