input_anisotropy,input_active_curvature,mapped_chi_kappa,mapped_chi_tau,runtime_sec,peak_memory_mb,success,error,max_curvature,max_torsion,end_to_end_distance,S_lat,cobb_angle,z_tip,x_tip,y_tip,bending_energy,shear_energy,translational_energy,rotational_energy,gravitational_energy,U_gravity,U_elastic,U_elastic_straight,U_info,U_CC,U_kinetic,info_gain_ratio,anisotropy
1.0,15.0,75.0,2.5,8.958576917648315,15.524820327758789,True,,138.5406940486528,121.4951924652693,0.24868939492960593,0.2186191369147642,36.30816257289304,-0.22569492401967917,0.05666718154943394,0.08773281573874316,39.996220302545545,0.23920937641687562,0.854665604692067,0.3484641121850997,-0.6512847947305019,-0.6512847947305019,40.23542967896242,20.98400362851172,28.89480780755944,-8.562088973778224,1.2031297168771666,1.3355406797590232,1.0
1.4736842105263157,15.0,75.0,2.5,6.471463680267334,0.1682443618774414,True,,107.53142165650112,128.44301567941994,0.153835053276645,0.4907628804664376,49.489767397688304,-0.06662928131379016,0.11748638715090999,0.07363906111882822,41.54489986051112,0.5510951560698585,0.7023678870660365,0.36141399056260776,-0.3368612713966791,-0.3368612713966791,42.09599501658098,21.642846403794348,27.790392550737828,-6.484407418340158,1.0637818776286443,1.2643658851798765,1.4736842105263157
1.9473684210526314,15.0,75.0,2.5,6.524052619934082,0.16346073150634766,True,,121.26343042870296,148.43581499783107,0.40184934516172033,1.4480846560790739,99.25973409541884,-0.13021525670252174,-0.3770341995585151,0.048704162985002145,41.84211555322881,0.4940866284123886,0.5976394866708588,0.4031132210143159,-0.34055126371651173,-0.34055126371651173,42.3362021816412,20.308754538539112,25.836362202176183,-5.8681589273535835,1.0007527076851748,1.2511976165006937,1.9473684210526314
2.4210526315789473,15.0,75.0,2.5,6.72553825378418,0.16940975189208984,True,,143.94782612474557,107.14490672695135,0.4297676905852649,1.5308418455520436,53.403111670833866,0.023416654110183007,-0.357936735706058,0.23671337396388836,28.448041718933144,0.4323528869556066,0.522720185850047,0.3763075329813586,-0.2712010342882089,-0.2712010342882089,28.88039460588875,21.016608547674437,40.19888248788236,-19.453474974496128,0.8990277188314055,1.8883522202276386,2.4210526315789473
2.894736842105263,15.0,75.0,2.5,6.4784300327301025,0.16065502166748047,True,,145.4442348125283,126.05252570234377,0.4245887619314115,0.679457302363767,97.1700575996767,-0.2857038164135641,0.11584167874044685,0.2919411781708233,39.39951905517266,0.5245972598595512,0.6742030492107257,0.3275119349214509,-0.4541880682099417,-0.4541880682099417,39.924116315032215,24.230022832788126,32.30567083168486,-8.529836067106672,1.0017149841321766,1.3087584999680353,2.894736842105263
3.3684210526315788,15.0,75.0,2.5,14.986485719680786,0.16327285766601562,True,,114.2142773696879,117.1994093790252,0.22754045151867394,0.7042181465926763,33.75507118192762,-0.17140738265662045,-0.14913397843328063,0.012378316718790253,39.462302768215004,0.33160091835711314,1.0059645391643646,0.381477223797103,-0.21275889856730468,-0.21275889856730468,39.793903686572115,19.260035398290068,27.726068568700445,-8.678792068977682,1.3874417629614677,1.4238361555113346,3.3684210526315788
3.8421052631578947,15.0,75.0,2.5,6.500877857208252,0.16290283203125,True,,97.21178359559885,145.91882849725008,0.33814839929313595,1.4099334487175321,73.41233522760437,0.062466244565428514,-0.26835899814738884,-0.19602488706215834,46.491959182920304,0.6306636501538647,0.8016714539878201,0.4049937893341884,-0.15546610026329416,-0.15546610026329416,47.12262283307417,18.622044881325763,19.555773884893107,-1.0891951038306367,1.2066652433220084,1.0414465423062258,3.8421052631578947
4.315789473684211,15.0,75.0,2.5,6.563046455383301,0.1622457504272461,True,,144.74686969908697,124.18973842626384,0.4318945130796339,1.3564816697275162,58.18879044735083,-0.17067303207262408,0.3472316632450378,0.1919212301740371,38.1400261576513,0.7039062950086532,0.8123509359126806,0.42809796484489204,-0.299729588661337,-0.299729588661337,38.84393245265995,19.227639371560723,28.466851416010556,-9.538941633111168,1.2404489007575727,1.4577924693284865,4.315789473684211
4.789473684210526,15.0,75.0,2.5,7.074739456176758,0.16274642944335938,True,,142.7531848739337,133.79957501611028,0.5224301456084199,0.5256069094187954,106.3298965424917,-0.24231492778533847,0.17036917614153416,0.4303383281020597,33.35425889424162,0.6281485705752802,1.154919293395528,0.36936359035074295,-0.3973432264415244,-0.3973432264415244,33.982407464816895,23.89412088614351,38.34694036813555,-14.850162708433562,1.5242828837462707,1.5786179124653332,4.789473684210526
5.263157894736842,15.0,75.0,2.5,6.447922706604004,0.17330074310302734,True,,128.04591069681297,128.23527403565308,0.5303363381434245,1.0203583986429412,118.79645651934567,-0.28759082035028694,0.38123498659330035,-0.23066867278161496,37.78440927344813,0.470894346284427,1.099063809853702,0.41487779850266887,-0.36810196417578245,-0.36810196417578245,38.25530361973255,20.1776422552227,30.198178094992233,-10.388637803945315,1.5139416083563708,1.4698021046363607,5.263157894736842
5.7368421052631575,15.0,75.0,2.5,6.350692272186279,0.16042041778564453,True,,150.7311676081365,120.862314138925,0.5163546284541402,1.4857308383696057,75.46218935493387,-0.04910134722875357,0.306790614775186,0.41242051199255103,20.50112509544044,0.5740777506037803,0.6607164661467259,0.3297007682852473,-0.10516767344459045,-0.10516767344459045,21.07520284604422,26.328873968282064,53.49480079271088,-27.27109449787341,0.9904172344319732,2.023708728228236,5.7368421052631575
6.2105263157894735,15.0,75.0,2.5,6.333597898483276,0.1613607406616211,True,,134.40532556121934,126.29013792001835,0.12886064741762931,0.8659129167719811,59.575764348290406,0.07084694065686516,-0.0395407284812992,0.10011147908018031,35.173441612562996,0.9583148246424185,1.1011792810535697,0.3718323087262005,-0.1460721148268894,-0.1460721148268894,36.13175643720542,24.163564073628226,36.99161248059248,-12.974120521791143,1.4730115897797702,1.52168515373176,6.2105263157894735
6.684210526315789,15.0,75.0,2.5,6.323283672332764,0.16285991668701172,True,,132.95884739623403,121.65452017243956,0.5692052431976518,0.7710361765531162,26.3303288593008,-0.4244053352654937,-0.3682768000928883,0.0908125475648855,31.948332137582675,0.6309992249137132,1.1196267730192957,0.4038333927268037,-0.5439690975546394,-0.5439690975546394,32.57933136249639,20.028259279767816,35.64871386280305,-16.164423680589874,1.5234601657460993,1.7328562180507374,6.684210526315789
7.157894736842105,15.0,75.0,2.5,6.638426065444946,0.16185379028320312,True,,127.0248398612071,126.04272772407461,0.42011772201654696,0.8201318111751134,27.526025736768634,-0.09852660163589617,-0.07296251364004745,0.40183066175415233,28.761336053748437,0.9296073279011559,1.5029115676023952,0.32204373027210376,-0.0018526737850361576,-0.0018526737850361576,29.690943381649593,25.080215064389332,43.87540045332378,-18.79703806271948,1.824955297874499,1.7492736608212873,7.157894736842105
7.63157894736842,15.0,75.0,2.5,11.455612897872925,0.16175556182861328,True,,142.81430919441053,132.6497500240971,0.5298508498093375,1.150171429538123,132.63661967853668,-0.31634438694123784,-0.42459600771919187,0.019656605082602013,30.19094436377417,0.5051192579416722,0.9747439163130479,0.3519245217782727,-0.34863771520075537,-0.34863771520075537,30.696063621715844,27.387755621959748,44.875314677760095,-17.836196771001102,1.3266684380913207,1.6179217727503636,7.63157894736842
8.105263157894736,15.0,75.0,2.5,6.373414993286133,0.16866016387939453,True,,148.01019808615558,114.74463254677902,0.4140209821917253,1.8813063676071715,45.71881780763896,-0.06643962946641169,-0.4001341181050602,-0.08301708775699472,40.824863465325436,0.5537509954245937,0.8603380102559842,0.3487695777733645,0.08438431848826353,0.08438431848826353,41.37861446075003,23.82433991217459,30.524448637225284,-6.615724406562428,1.2091075880293487,1.276707545862183,8.105263157894736
