profile_name,anisotropy,active_curvature,torsion_drive,stiffness_modulation,input_anisotropy,input_active_curvature,mapped_chi_kappa,mapped_chi_tau,runtime_sec,peak_memory_mb,success,error,max_curvature,max_torsion,end_to_end_distance,S_lat,cobb_angle,z_tip,x_tip,y_tip,bending_energy,shear_energy,translational_energy,rotational_energy,gravitational_energy,U_gravity,U_elastic,U_elastic_straight,U_info,U_CC,U_kinetic,info_gain_ratio
WildType_Control,2.0,0.1,0.0,0.5,2.0,0.1,0.5,0.0,8.019445419311523,15.519790649414062,True,,2.856406811772994,0.01015298993309048,0.4919008681776262,0.014325138533658126,1.1348255882467906,0.45923038255990695,0.006578538849035485,0.17615516647091456,0.0022386772609242628,0.0006061507318733717,0.0009699958569210085,3.425259013604542e-07,0.36348896175781725,0.36348896175781725,0.0028448279927976343,0.0061512877045627815,0.0036228730757868243,0.3660173763865932,0.0009703383828223689,0.009801078429787015
Marfan_Like (Low Anisotropy),1.0,0.1,0.0,0.2,1.0,0.1,0.5,0.0,8.870617389678955,0.16355133056640625,True,,2.80157004279514,0.005567304372849309,0.4925918373116635,0.006595387663922097,0.6734394139668278,0.46353954099559513,0.0030572229704224595,0.16663872751369196,0.002280579374017676,0.0006433213720434877,0.0008972388733231453,3.135374912560718e-07,0.36551077517189745,0.36551077517189745,0.0029239007460611635,0.0053364173751969625,0.003307893786791531,0.3675392987603029,0.0008975524108144014,0.008919829658334159
Piezo_Gain (High Drive),2.0,2.0,0.0,0.5,2.0,2.0,10.0,0.0,6.080877065658569,0.16105270385742188,True,,31.354259871584155,0.05591135888879516,0.3178617912620968,0.011699576869717883,0.40343015741546817,0.24493195085726233,0.0028656001869045034,0.20257405097685452,0.013615584416073252,0.0007845502607050431,0.0010238974453473796,7.97137826067725e-07,0.1862139145779444,0.1862139145779444,0.014400134676778295,0.5645763196951681,1.0656702944663001,-0.3148800601931876,0.0010246945831734473,1.4193981831663578
Scoliotic_Risk (Mismatch),1.1,2.0,0.5,0.3,1.1,2.0,10.0,2.5,5.460352420806885,0.16188335418701172,True,,31.45392824764735,7.647542748309267,0.31940913582440017,0.28238782996179485,4.561150221771195,0.24869584083509544,-0.07022867881394652,0.18772455212747885,0.01446670531830133,0.000827496488538397,0.0010607289026307138,8.129070909098597e-07,0.18958406427786792,0.18958406427786792,0.015294201806839727,0.5520158476625082,1.0392579175775396,-0.2976580056371635,0.0010615418097216236,1.4013727629205746
Microgravity (Unloaded),1.5,1.5,0.2,0.4,1.5,1.5,7.5,1.0,5.6632091999053955,0.15889453887939453,True,,24.265258974093406,3.083038421517937,0.36720717219671906,0.08931331505757333,2.1383540545232465,0.24637966154553462,-0.022004984335394617,0.27139261293155664,0.016624538314237877,0.000899021306610547,0.0018315265281241408,1.0731094080552397e-06,0.18940383209443204,0.18940383209443204,0.017523559620848422,0.3441638338116352,0.6095869009406828,-0.0760192350346156,0.001832599637532196,1.1424734666136958
