torsion_drive,anisotropy,active_curvature,initial_lateral_defect,cobb_angle,max_torsion,s_lat,runtime_sec
0.0,3.0,12.0,0.02,60.49107866658723,32.216136402855774,0.6115504290336036,22.219627141952515
0.21428571428571427,3.0,12.0,0.02,40.00336346487697,129.6348224463317,1.256293312043633,9.325622320175171
0.42857142857142855,3.0,12.0,0.02,18.23207228053211,134.2578323953156,1.117683032141973,6.523662567138672
0.6428571428571428,3.0,12.0,0.02,6.031529174017081,121.1368371904352,2.110667706496976,6.484630823135376
0.8571428571428571,3.0,12.0,0.02,11.908857643061934,127.41904283780067,2.270296977019189,6.5364720821380615
1.0714285714285714,3.0,12.0,0.02,41.22527547916331,146.06475257913465,0.5268062071809461,6.3243513107299805
1.2857142857142856,3.0,12.0,0.02,96.06277474837671,143.3509742182864,0.43409455852856615,6.341647148132324
1.5,3.0,12.0,0.02,48.07032187658305,152.5246245783224,0.4973321765425545,6.325203895568848
1.7142857142857142,3.0,12.0,0.02,114.3785093000719,151.35812547684375,1.1032660589281167,6.332078695297241
1.9285714285714284,3.0,12.0,0.02,32.468041728907316,148.66242288937346,0.42224464270260886,6.327939510345459
2.142857142857143,3.0,12.0,0.02,87.83388383214772,150.3249091265531,0.5962570460472486,6.30693793296814
2.357142857142857,3.0,12.0,0.02,5.727263501043095,152.79698326302048,0.5837959343368226,6.606460332870483
2.571428571428571,3.0,12.0,0.02,19.1158628251017,149.29293124821857,1.0147825897783154,9.424792289733887
2.7857142857142856,3.0,12.0,0.02,29.91454270284702,138.66252279323064,0.3590327711391079,6.6325061321258545
3.0,3.0,12.0,0.02,38.95773567804658,153.14353775315945,1.0322761947596346,6.600226879119873
