stiffness_modulation,anisotropy,active_curvature,initial_lateral_defect,cobb_angle,max_curvature,s_lat,u_cc,runtime_sec
-0.8,2.0,12.0,0.05,68.23932532589203,140.5500593996268,0.39599673369878813,-19.522666701246727,11.200874328613281
-0.7157894736842105,2.0,12.0,0.05,69.52884859258961,143.32548644380387,0.6015468837255312,-20.669448659496823,7.2011559009552
-0.6315789473684211,2.0,12.0,0.05,70.5370784293467,145.1541206255815,0.8413365910291744,-21.73896999984902,6.334276437759399
-0.5473684210526316,2.0,12.0,0.05,38.17439196765313,145.79974795421066,0.8631520607560467,-22.66192094898045,6.487587213516235
-0.46315789473684216,2.0,12.0,0.05,57.674063724197566,145.3042497188,0.7482969040029972,-23.34197661886806,6.123869180679321
-0.3789473684210527,2.0,12.0,0.05,51.93032542131296,140.9728093054511,0.6493055804704233,-23.66999049744377,6.133523464202881
-0.2947368421052632,2.0,12.0,0.05,43.70514998376246,134.35507707813244,0.5751183026152724,-23.73176672421645,6.1040942668914795
-0.21052631578947378,2.0,12.0,0.05,34.20321987657159,128.29042100282766,0.5120780394143941,-23.905049948958883,6.200045347213745
-0.12631578947368427,2.0,12.0,0.05,25.562168650488783,124.25770223515512,0.4341310335467371,-24.477800096745355,6.192698240280151
-0.04210526315789476,2.0,12.0,0.05,19.0747932882884,123.76721679848833,0.3672175382162104,-25.488061522261024,6.201831579208374
0.042105263157894646,2.0,12.0,0.05,12.596268277648967,125.86118486184974,0.3704709825539082,-26.754632694063922,6.296486854553223
0.12631578947368416,2.0,12.0,0.05,3.341755795451254,129.51141799846283,0.349722747780779,-28.084145297948222,6.162529945373535
0.21052631578947367,2.0,12.0,0.05,4.189659161388214,133.43002795554557,0.33515950199785,-29.22398589885115,6.698375940322876
0.2947368421052632,2.0,12.0,0.05,40.009002447015654,137.5052593713067,0.6497425944031542,-30.039293946979477,6.64972996711731
0.3789473684210525,2.0,12.0,0.05,54.50483391590388,140.77131047534496,0.4698545271555794,-31.07330446946486,6.806576728820801
0.463157894736842,2.0,12.0,0.05,40.69263287277974,142.47750394561646,0.28288306635863547,-31.87836631725569,6.735747814178467
0.5473684210526315,2.0,12.0,0.05,18.759184891357283,143.56858363513075,0.19875358664146664,-32.76288036067336,6.787541389465332
0.631578947368421,2.0,12.0,0.05,4.506121129466283,143.68010065773046,0.4259100946120403,-33.6429919604618,6.3401710987091064
0.7157894736842105,2.0,12.0,0.05,1.7554227982144173,142.06264706082686,0.6547899340464941,-34.434935486849106,6.434730768203735
0.8,2.0,12.0,0.05,3.923337216220455,138.12392818191302,0.8793967583829494,-35.12189120248725,7.166361093521118
