Neural_Delay_tau,Predictive_Horizon_Tpred,Stable,Control_Effort,Total_Free_Energy
0.0,0.0,1,0.6601498156805542,0.004326973489779285
0.0,0.021052631578947368,1,0.6000482647501275,0.004185348657995328
0.0,0.042105263157894736,1,0.5527455831465948,0.004105774332711062
0.0,0.06315789473684211,1,0.5147447220201165,0.004072629253295312
0.0,0.08421052631578947,1,0.48368276608094635,0.004075844164735304
0.0,0.10526315789473684,1,0.4579180540286288,0.004108745437322609
0.0,0.12631578947368421,1,0.43627973626072997,0.004166841810031487
0.0,0.14736842105263157,1,0.41791254221716395,0.004247107091583498
0.0,0.16842105263157894,1,0.40217819693113,0.00434753861600792
0.0,0.18947368421052632,1,0.3885912238526675,0.004466876557226757
0.0,0.21052631578947367,1,0.3714383012796201,0.004679924672842109
0.0,0.23157894736842105,1,0.36174760180674503,0.0048444047687080175
0.0,0.25263157894736843,1,0.35319996193879716,0.005027094958498892
0.0,0.2736842105263158,1,0.34562527090259143,0.005228538532784781
0.0,0.29473684210526313,1,0.33888445123716066,0.005449540174196971
0.0,0.3157894736842105,1,0.3328627647437814,0.005691152764263492
0.0,0.3368421052631579,1,0.327464774712864,0.005954674168613928
0.0,0.35789473684210527,1,0.3226105056321826,0.006241652471692385
0.0,0.37894736842105264,1,0.31823248119187236,0.0065538988561509165
0.0,0.4,1,0.31243542011240066,0.007074312088440518
0.021052631578947368,0.0,1,0.6269045633457422,0.004233305470064139
0.021052631578947368,0.021052631578947368,1,0.6581670253577606,0.0043208643205018375
0.021052631578947368,0.042105263157894736,1,0.598246926384347,0.004183068426368554
0.021052631578947368,0.06315789473684211,1,0.5510877127514003,0.004107294977141076
0.021052631578947368,0.08421052631578947,1,0.5132026504166339,0.004078063349192169
0.021052631578947368,0.10526315789473684,1,0.4822358387372397,0.004085418012631785
0.021052631578947368,0.12631578947368421,1,0.4565505113515116,0.004122785797066025
0.021052631578947368,0.14736842105263157,1,0.43497932084119856,0.004185770772892391
0.021052631578947368,0.16842105263157894,1,0.4166695614255305,0.004271442257130217
0.021052631578947368,0.18947368421052632,1,0.4009848767472078,0.00437789706984366
0.021052631578947368,0.21052631578947367,1,0.3813519279256384,0.004574184363774797
0.021052631578947368,0.23157894736842105,1,0.3703439368535381,0.004728763966785381
