time,theta_ideal,theta_naive,theta_pred,u_naive,u_pred,F_ideal,F_naive,F_pred
0.0,0.087,0.087,0.087,-1.7399999999999998,-1.7399999999999998,0.018922499999999995,0.018922499999999995,0.018922499999999995
0.010025062656641603,0.08695561607337686,0.08695561607337686,0.08695561607337686,-1.7399999999999998,-1.6680922558694413,0.01769723896140011,0.018922580090942095,0.01769723896140011
0.020050125313283207,0.08682601659504874,0.08682242091502815,0.08682601659504874,-1.7399999999999998,-1.6001643440054751,0.016586533964447765,0.018922843826319355,0.016586533964447765
0.03007518796992481,0.08661806724915738,0.08660028434257971,0.08661806724915738,-1.7399999999999998,-1.535971280483658,0.015577515735463216,0.018923361708301112,0.015577515735463216
0.040100250626566414,0.08633817137383536,0.08628898924068254,0.08633817137383536,-1.7399999999999998,-1.4752836156493467,0.01465885653841587,0.0189242516237271,0.01465885653841587
0.05012531328320802,0.08599229993949385,0.08588823134377524,0.08599229993949385,-1.7399999999999998,-1.4178864405220586,0.013820581658358892,0.018925679420616202,0.013820581658358892
0.06015037593984962,0.08558601959984909,0.08539761893165612,0.08558601959984909,-1.7399999999999998,-1.363578457098885,0.013053904111633277,0.018927859718629966,0.013053904111633277
0.07017543859649122,0.08512451893959361,0.0848166724375696,0.08512451893959361,-1.7399999999999998,-1.3121711084137027,0.012351079711149144,0.01893105695685779,0.012351079711149144
0.08020050125313283,0.08461263303461253,0.08414482396842737,0.08461263303461253,-1.7399999999999998,-1.263487764480913,0.011705279970914188,0.01893558668327519,0.011705279970914188
0.09022556390977443,0.08405486643316136,0.08338141673670076,0.08405486643316136,-1.7399999999999998,-1.2173629605064282,0.01111048064565207,0.0189418170912282,0.01111048064565207
0.10025062656641603,0.08345541465942628,0.08252570440343637,0.08345541465942628,-1.7399999999999998,-1.1736416839857426,0.01056136397433511,0.018950170809318993,0.01056136397433511
0.11027568922305764,0.08281818433434764,0.08157685033176372,0.08281818433434764,-1.7399999999999998,-1.1321787075302958,0.010053232935560617,0.018961126952115347,0.010053232935560617
0.12030075187969924,0.08214681200247312,0.08053392675017954,0.08214681200247312,-1.7399999999999998,-1.092837964469966,0.009581936032140637,0.01897522344018213,0.009581936032140637
0.13032581453634084,0.08144468174789021,0.0793959138248104,0.08144468174789021,-1.7399999999999998,-1.0554919644724112,0.009143801305739396,0.01899305959904203,0.009143801305739396
0.14035087719298245,0.08071494167694208,0.0781616986397723,0.08071494167694208,-1.7399999999999998,-1.0200212466000456,0.00873557844311004,0.019015299047818582,0.00873557844311004
0.15037593984962405,0.07996051934043226,0.07683007408466333,0.07996051934043226,-1.7399999999999998,-0.9863138673935087,0.008354387976277636,0.019042672889501715,0.008354387976277636
0.16040100250626566,0.07918413616334904,0.07539973764814349,0.07918413616334904,-1.7399999999999998,-0.9542649217274375,0.007997676702364382,0.01907598321600899,0.007997676702364382
0.17042606516290726,0.07838832094576866,0.07386929011647499,0.07838832094576866,-1.7399999999999998,-0.9237760943308617,0.007663178556820622,0.019116106942498916,0.007663178556820622
0.18045112781954886,0.07757542249450688,0.07223723417581532,0.07757542249450688,-1.7399999999999998,-0.8947552400013856,0.007348880268509042,0.019163999986730643,0.007348880268509042
0.19047619047619047,0.07674762144126437,0.07050197291697657,0.07674762144126437,-1.6680922558694413,-0.8671159906700941,0.007052991208049562,0.01799536068111998,0.007052991208049562
0.20050125313283207,0.07590694129943294,0.06866540392170416,0.07590694129943294,-1.594338873866934,-0.8407773875935003,0.006773916913523626,0.016845579468371893,0.006773916913523626
