time_days,EI,GJ,K_odd,Lambda1_real,Lambda1_imag,Lambda2_real,Lambda2_imag,cobb_rate,is_complex,cobb_angle
0.0,100.0,80.0,5.002468196081733,98.65882855513324,0.0,81.34117144486676,0.0,0.0,False,0.0
1.001001001001001,99.97997997997997,79.98998998999,5.002543376508978,98.63798936012088,0.0,81.33198060984907,0.0,0.0,False,0.0
2.002002002002002,99.95995995995996,79.97997997997997,5.002620715605359,98.61714788972485,0.0,81.32279205021509,0.0,0.0,False,0.0
3.0030030030030033,99.93993993993993,79.96996996996997,5.002700271144752,98.5963041058378,0.0,81.31360580407211,0.0,0.0,False,0.0
4.004004004004004,99.91991991991992,79.95995995995996,5.002782102318148,98.57545796942296,0.0,81.30442191045691,0.0,0.0,False,0.0
5.005005005005005,99.89989989989989,79.94994994994995,5.0028662697646356,98.55460944049258,0.0,81.29524040935726,0.0,0.0,False,0.0
6.0060060060060065,99.87987987987988,79.93993993993993,5.002952835602948,98.53375847808616,0.0,81.28606134173367,0.0,0.0,False,0.0
7.007007007007008,99.85985985985985,79.92992992992993,5.003041863463592,98.51290504024804,0.0,81.27688474954174,0.0,0.0,False,0.0
8.008008008008009,99.83983983983984,79.91991991991992,5.00313341852156,98.49204908400485,0.0,81.26771067575491,0.0,0.0,False,0.0
9.00900900900901,99.81981981981981,79.90990990990991,5.003227567529639,98.47119056534203,0.0,81.25853916438771,0.0,0.0,False,0.0
10.01001001001001,99.7997997997998,79.89989989989989,5.003324378852327,98.45032943918038,0.0,81.24937026051931,0.0,0.0,False,0.0
11.011011011011012,99.77977977977977,79.88988988988989,5.003423922500349,98.42946565935179,0.0,81.24020401031785,0.0,0.0,False,0.0
12.012012012012013,99.75975975975976,79.87987987987988,5.003526270165793,98.40859917857472,0.0,81.23104046106494,0.0,0.0,False,0.0
13.013013013013014,99.73973973973973,79.86986986986987,5.003631495257883,98.38772994842886,0.0,81.22187966118075,0.0,0.0,False,0.0
14.014014014014016,99.71971971971972,79.85985985985985,5.003739672939373,98.36685791932979,0.0,81.21272166024977,0.0,0.0,False,0.0
15.015015015015017,99.69969969969969,79.84984984984985,5.003850880163583,98.34598304050266,0.0,81.20356650904688,0.0,0.0,False,0.0
16.016016016016017,99.67967967967968,79.83983983983984,5.003965195712092,98.32510525995565,0.0,81.19441425956387,0.0,0.0,False,0.0
17.017017017017018,99.65965965965965,79.82982982982983,5.004082700233083,98.30422452445274,0.0,81.18526496503674,0.0,0.0,False,0.0
18.01801801801802,99.63963963963964,79.81981981981981,5.004203476280352,98.2833407794861,0.0,81.17611867997336,0.0,0.0,False,0.0
19.01901901901902,99.61961961961961,79.8098098098098,5.004327608352987,98.26245396924777,0.0,81.16697546018166,0.0,0.0,False,0.0
20.02002002002002,99.5995995995996,79.7997997997998,5.00445518293574,98.24156403660095,0.0,81.15783536279844,0.0,0.0,False,0.0
21.021021021021024,99.57957957957957,79.7897897897898,5.0045862885400725,98.22067092305068,0.0,81.14869844631869,0.0,0.0,False,0.0
22.022022022022025,99.55955955955956,79.77977977977977,5.004721015745903,98.19977456871386,0.0,81.13956477062548,0.0,0.0,False,0.0
