chi_kappa,gravity,D_geo,D_geo_norm,base_energy,passive_energy,S_lat_asym,cobb_asym_deg,lat_dev_max_asym,S_lat_sym,cobb_sym_deg,scoliosis_regime
0.0,9.81,0.1757196785240898,0.0726401409680142,5.851772627359603,2.1397261344792935,1.8265125109416402,34.6595116718299,0.34190402873054054,1.8262988567828415,34.666346787562595,True
0.0,4.9,0.1755901873126429,0.07264024787305265,5.8431340387393575,2.136579715253792,1.8281206809209416,34.638749560010616,0.3419842683991299,1.827906829402472,34.64558188074726,True
0.0,2.0,0.17551370673329,0.07264031082077631,5.838034923796727,2.1347225011991426,1.829071531965604,34.62648680995279,0.3420316370067806,1.8288575636935878,34.63331747987707,True
0.0,1.0,0.17548733429068625,0.07264033249342036,5.836277143206944,2.1340822822735643,1.8293995867165898,34.62225827620331,0.3420479669694388,1.8291855781525284,34.62908837688169,True
0.0,0.5,0.1754741481022843,0.07264034332329615,5.835398355778911,2.1337622112173045,1.8295636477838026,34.62014400947325,0.3420561311737724,1.8293496190675151,34.62697382552889,True
0.0,0.2,0.17546623639977388,0.07264034981915747,5.834871116239487,2.133570180873638,1.8296620952084135,34.618875449481564,0.3420610294477241,1.8294480543988088,34.62570509476345,True
0.0,0.1,0.1754635991673591,0.0726403519841004,5.83469537521258,2.1335061728074316,1.829694912814241,34.618452596158896,0.34206266216426534,1.829480867973202,34.62528218451599,True
0.0,0.05,0.17546228055148086,0.07264035306650736,5.834607505727795,2.133474169158393,1.8297113219542345,34.618241169498766,0.3420634785147658,1.829497275097415,34.625070729393805,True
0.0,0.01,0.1754612256589363,0.07264035393240195,5.834537210633727,2.1334485664235134,1.8297244494280307,34.61807202817145,0.3420641315914362,1.8295104009585568,34.624901565296675,True
0.005,9.81,0.17569507961963857,0.0726299721132678,5.851772627359603,2.1397261344792935,1.8211975320521367,34.65732426811681,0.3416884725233132,1.8210288276670785,34.66414813057731,True
0.005,4.9,0.17557029370777602,0.07263201804876272,5.8431340387393575,2.136579715253792,1.822798544911305,34.636561668427994,0.34176885759821646,1.8226297034721084,34.643382735977255,True
0.005,2.0,0.1754965954284808,0.07263322892088928,5.838034923796727,2.1347225011991426,1.8237451612573854,34.62429863007071,0.3418163121047191,1.8235762387462446,34.63111804685765,True
