anisotropy,active_curvature,torsion_drive,stiffness_modulation,initial_lateral_defect,natural_kyphosis,length,n_elements,duration,max_curvature,max_torsion,end_to_end_distance,S_lat,cobb_angle,z_tip,x_tip,y_tip,U_CC,info_gain_ratio
3.0,0.0,0.0,0.0,0.0,2.0,0.4,50,2.0,1.8724399035918897,0.0,0.395242748256348,0.0,0.0,0.3807787671827883,0.0,0.10594508252857596,0.2426156417012914,0.0
3.0,1.0,0.0,0.0,0.0,2.0,0.4,50,2.0,16.611209270847098,0.0,0.35881225511747855,0.0,0.0,0.26921523471691594,0.0,0.23721170253342552,0.09713884898497105,0.6683913682421145
3.0,2.0,0.0,0.0,0.0,2.0,0.4,50,2.0,31.45796714270063,0.0,0.2943222478989207,0.0,0.0,0.20657762919937958,0.0,0.2096455788292168,-0.20341072155840056,1.3910620399466662
3.0,3.0,0.0,0.0,0.0,2.0,0.4,50,2.0,46.252538289875304,0.0,0.2304558864500964,0.0,0.0,0.1957622358141663,0.0,0.12160206671162488,-0.6454294039429634,1.7051566055448988
3.0,4.0,0.0,0.0,0.0,2.0,0.4,50,2.0,61.109131014561385,0.0,0.18894006339125574,0.0,0.0,0.18842072465278742,0.0,0.013999216964180909,-1.2412341190753424,1.8434864655962722
3.0,5.0,0.0,0.0,0.0,2.0,0.4,50,2.0,76.01406379281569,0.0,0.1864859039141385,0.0,0.0,0.1660271503071138,0.0,-0.0849233638027389,-1.997769265558758,1.9136615216855948
3.0,6.0,0.0,0.0,0.0,2.0,0.4,50,2.0,90.95693472628359,0.0,0.20690068388010338,0.0,0.0,0.13708573448303807,0.0,-0.1549690110676985,-2.9171433233287654,1.9515228776020912
3.0,7.0,0.0,0.0,0.0,2.0,0.4,50,2.0,106.10323207536808,0.0,0.22179916074574285,0.0,0.0,0.11821516795723495,0.0,-0.1876700342951922,-4.001324405777662,1.9685145161578408
3.0,8.0,0.0,0.0,0.0,2.0,0.4,50,2.0,121.7920342421352,0.0,0.21412519463022092,0.0,0.0,0.1144983010376353,0.0,-0.18094125575701367,-5.258019993623057,1.9693860253563966
3.0,9.0,0.0,0.0,0.0,2.0,0.4,50,2.0,138.138367163065,0.0,0.1796462462600594,0.0,0.0,0.10719737917699448,0.0,-0.1441578846019654,-6.701572790917637,1.9632047729078042
3.0,10.0,0.0,0.0,0.0,2.0,0.4,50,2.0,154.37801053424755,0.0,0.13626092357223682,0.0,0.0,0.07643096784407782,0.0,-0.11280667731644484,-8.334703319588739,1.9645627143966036
3.0,11.0,0.0,0.0,0.0,2.0,0.4,50,2.0,169.80209271758312,0.0,0.11508234411088195,0.0,0.0,0.03581888433726427,0.0,-0.10936614398838942,-10.138378808182875,1.9760037383604558
3.0,12.0,0.0,0.0,0.0,2.0,0.4,50,2.0,184.6270723687048,0.0,0.12150175579764513,0.0,0.0,0.0030926973455672243,0.0,-0.12146238876722008,-12.098790547746585,1.9901114587536908
3.0,13.0,0.0,0.0,0.0,2.0,0.4,50,2.0,199.28651350164319,0.0,0.13354614486171604,0.0,0.0,-0.01493329279153544,0.0,-0.1327085889226041,-14.214592568646262,2.0016321443341694
3.0,14.0,0.0,0.0,0.0,2.0,0.4,50,2.0,214.10834928702045,0.0,0.13416102912010025,0.0,0.0,-0.016683203327539062,0.0,-0.13311969223708556,-16.49032064597682,2.0081398923823532
3.0,15.0,0.0,0.0,0.0,2.0,0.4,50,2.0,229.3393060413466,0.0,0.11710447187996914,0.0,0.0,-0.006343902780252118,0.0,-0.11693251144057923,-18.934670803886064,2.0086082264052156
