initial_lateral_defect,S_lat,cobb_angle,max_curvature,z_tip
0.0,0.0,0.0,152.511678163458,-0.09555911969900462
0.007894736842105263,0.16392288381356368,15.864207224173143,123.68445535979775,-0.5040294693799807
0.015789473684210527,0.061137302269262006,0.24353441664997277,124.82099775030991,-0.5118507893600045
0.02368421052631579,0.05519090072886857,7.003930512335375,125.98950116426322,-0.5128396808692258
0.031578947368421054,0.04959323836384695,9.241748546241046,126.68953185412649,-0.5096104468266011
0.039473684210526314,0.06850113842892676,9.959873069149461,126.73556804156937,-0.5074455345418685
0.04736842105263158,0.10017389743211397,11.110523491383029,126.18203389428167,-0.5076536842702482
0.05526315789473685,0.13457672372189178,12.862011970885366,125.86600072341483,-0.5091584764722442
0.06315789473684211,0.15316898159995454,14.579359567617011,124.89333982567706,-0.5095545211267811
0.07105263157894737,0.16741865596894928,15.940294539513342,123.49711902977548,-0.5066133146169414
0.07894736842105263,0.17915940011340298,17.011319622133428,123.64283952614711,-0.499121353097115
0.0868421052631579,0.19066008300061954,18.005347134468117,125.04603666501845,-0.4870060880885813
0.09473684210526316,0.20686152500904745,19.094858318262602,126.28723081158705,-0.47108156930206424
0.10263157894736842,0.23941446346358966,20.327757344483953,127.1768594108084,-0.4533570947021565
0.1105263157894737,0.2719864941566908,21.685345654269355,127.61654674151723,-0.4377485825177761
0.11842105263157895,0.2952952634487712,23.191710515554036,127.64362661577074,-0.4279072818904992
0.12631578947368421,0.30603136524960634,24.821621581029817,127.35255726566307,-0.42336607615598615
0.13421052631578947,0.3098735787189159,26.40647304555743,126.85366357068732,-0.4205521433234215
0.14210526315789473,0.31175893441804303,27.743830450146742,126.26154442213759,-0.41643350268249835
0.15,0.3133796440848185,28.697977289616443,125.66114879613332,-0.409789689115182
