growth_gradient,S_lat,cobb_like_deg,max_lateral_dev
-2.0,0.4924845339999257,6.993288418878665,0.022890473442155567
-1.7894736842105263,0.5568310573759936,6.161637324756661,0.023393644524355925
-1.5789473684210527,0.6069550471158803,9.089324029015982,0.02640984992586768
-1.368421052631579,0.645008375722357,15.143881160939513,0.032345924962412106
-1.1578947368421053,0.4079798812190191,39.731964712544396,0.028439382626141742
-0.9473684210526316,0.9913781079738422,53.26948501050615,0.06015881033193073
-0.736842105263158,0.4207068687021419,21.03138416980597,0.041863627781113674
-0.5263157894736843,0.7435801833591253,7.990203903099877,0.0810372221038722
-0.3157894736842106,0.4425385466081334,23.951696297210063,0.09690060844164214
-0.10526315789473695,2.1822325239918254,59.01466675759671,0.3353345867795519
0.10526315789473673,0.5648478438552443,85.21113987924052,0.16490628629494095
0.3157894736842106,0.5513934784659156,49.77736119953943,0.07829462364003587
0.5263157894736841,0.9727302356343638,15.749449997047448,0.0931645394470236
0.7368421052631575,0.6801697693675259,14.831761568576146,0.06485126591614716
0.9473684210526314,0.4403620219953515,35.825558173241646,0.03712585201719838
1.1578947368421053,0.9342480623254984,24.200655570736558,0.04728631430474292
1.3684210526315788,0.45863984422275267,4.177105810054555,0.024515165376088
1.5789473684210522,0.5656183028136967,3.358578681269821,0.02365348003858121
1.789473684210526,0.7002961557518695,1.1798490649262108,0.024162347900006927
2.0,0.5617450196487004,0.8843534762386338,0.018000909268857
