active_curvature,cobb_angle,max_curvature,end_to_end_distance,z_tip,U_CC
0.0,0.0,1.924333081906776,0.9654236778695892,0.9636094176296522,1.507222478402968
1.6666666666666667,0.0,42.841385135372235,0.322859096848653,-0.09098719158125317,-0.5683491244500789
3.3333333333333335,0.0,54.25275937638417,0.5975924345425903,-0.45358238955547864,-2.604823981567886
5.0,0.0,68.02028737963454,0.5077955505777465,-0.43163929675914203,-5.193545026839912
6.666666666666667,0.0,93.88860512231987,0.5412736889861314,-0.5326586161091135,-9.451349839951341
8.333333333333334,0.0,111.4266028136239,0.4313541171054264,-0.4301744132051588,-14.22540370914629
10.0,0.0,139.58637654508547,0.4439622392615996,-0.40117435256672196,-20.5379735320787
11.666666666666668,0.0,134.54356456672264,0.2451995311883269,-0.13509542276097358,-25.358927469953436
13.333333333333334,0.0,151.0593754020891,0.11842545373390186,-0.0025127523304487,-30.435815698146552
15.0,0.0,150.09317637926193,0.1946333689031225,0.007966563621026927,-30.36463568550855
