input_anisotropy,input_active_curvature,mapped_chi_kappa,mapped_chi_tau,runtime_sec,peak_memory_mb,success,error,max_curvature,max_torsion,end_to_end_distance,S_lat,cobb_angle,z_tip,x_tip,y_tip,bending_energy,shear_energy,translational_energy,rotational_energy,gravitational_energy,U_gravity,U_elastic,U_elastic_straight,U_info,U_CC,U_kinetic,info_gain_ratio,stiffness_anisotropy
0.5,12.0,60.0,0.0,8.87694263458252,15.521858215332031,True,,152.70540303917318,0.0,0.2742131779019502,0.0,0.0,-0.08646735118051421,0.0,0.26022348878399165,3.3037044374778777,0.010414031228500348,0.011562562032538973,3.052323843721296e-05,-0.23204922247241164,-0.23204922247241164,3.314118468706378,19.456938083973156,46.8740753945134,-27.649186533012653,0.011593085270976187,2.380725563227331,0.5
0.7368421052631579,12.0,60.0,0.0,6.623942852020264,0.16324901580810547,True,,152.70540303917318,0.0,0.2742131779019502,0.0,0.0,-0.08646735118051421,0.0,0.26022348878399165,3.3037044374778777,0.010414031228500348,0.011562562032538973,3.052323843721296e-05,-0.23204922247241164,-0.23204922247241164,3.314118468706378,19.456938083973156,46.8740753945134,-27.649186533012653,0.011593085270976187,2.380725563227331,0.7368421052631579
0.9736842105263157,12.0,60.0,0.0,6.399256467819214,0.16233348846435547,True,,152.70540303917318,0.0,0.2742131779019502,0.0,0.0,-0.08646735118051421,0.0,0.26022348878399165,3.3037044374778777,0.010414031228500348,0.011562562032538973,3.052323843721296e-05,-0.23204922247241164,-0.23204922247241164,3.314118468706378,19.456938083973156,46.8740753945134,-27.649186533012653,0.011593085270976187,2.380725563227331,0.9736842105263157
1.2105263157894737,12.0,60.0,0.0,6.638152599334717,0.16104793548583984,True,,152.70540303917318,0.0,0.2742131779019502,0.0,0.0,-0.08646735118051421,0.0,0.26022348878399165,3.3037044374778777,0.010414031228500348,0.011562562032538973,3.052323843721296e-05,-0.23204922247241164,-0.23204922247241164,3.314118468706378,19.456938083973156,46.8740753945134,-27.649186533012653,0.011593085270976187,2.380725563227331,1.2105263157894737
1.4473684210526314,12.0,60.0,0.0,6.366193056106567,0.15907573699951172,True,,152.70540303917318,0.0,0.2742131779019502,0.0,0.0,-0.08646735118051421,0.0,0.26022348878399165,3.3037044374778777,0.010414031228500348,0.011562562032538973,3.052323843721296e-05,-0.23204922247241164,-0.23204922247241164,3.314118468706378,19.456938083973156,46.8740753945134,-27.649186533012653,0.011593085270976187,2.380725563227331,1.4473684210526314
1.6842105263157894,12.0,60.0,0.0,9.842499732971191,0.16135311126708984,True,,152.70540303917318,0.0,0.2742131779019502,0.0,0.0,-0.08646735118051421,0.0,0.26022348878399165,3.3037044374778777,0.010414031228500348,0.011562562032538973,3.052323843721296e-05,-0.23204922247241164,-0.23204922247241164,3.314118468706378,19.456938083973156,46.8740753945134,-27.649186533012653,0.011593085270976187,2.380725563227331,1.6842105263157894
1.9210526315789473,12.0,60.0,0.0,8.14319658279419,0.16121196746826172,True,,152.70540303917318,0.0,0.2742131779019502,0.0,0.0,-0.08646735118051421,0.0,0.26022348878399165,3.3037044374778777,0.010414031228500348,0.011562562032538973,3.052323843721296e-05,-0.23204922247241164,-0.23204922247241164,3.314118468706378,19.456938083973156,46.8740753945134,-27.649186533012653,0.011593085270976187,2.380725563227331,1.9210526315789473
2.1578947368421053,12.0,60.0,0.0,7.538729429244995,0.16019058227539062,True,,152.70540303917318,0.0,0.2742131779019502,0.0,0.0,-0.08646735118051421,0.0,0.26022348878399165,3.3037044374778777,0.010414031228500348,0.011562562032538973,3.052323843721296e-05,-0.23204922247241164,-0.23204922247241164,3.314118468706378,19.456938083973156,46.8740753945134,-27.649186533012653,0.011593085270976187,2.380725563227331,2.1578947368421053
2.394736842105263,12.0,60.0,0.0,9.180466413497925,0.16124629974365234,True,,152.70540303917318,0.0,0.2742131779019502,0.0,0.0,-0.08646735118051421,0.0,0.26022348878399165,3.3037044374778777,0.010414031228500348,0.011562562032538973,3.052323843721296e-05,-0.23204922247241164,-0.23204922247241164,3.314118468706378,19.456938083973156,46.8740753945134,-27.649186533012653,0.011593085270976187,2.380725563227331,2.394736842105263
2.631578947368421,12.0,60.0,0.0,6.331894397735596,0.16398143768310547,True,,152.70540303917318,0.0,0.2742131779019502,0.0,0.0,-0.08646735118051421,0.0,0.26022348878399165,3.3037044374778777,0.010414031228500348,0.011562562032538973,3.052323843721296e-05,-0.23204922247241164,-0.23204922247241164,3.314118468706378,19.456938083973156,46.8740753945134,-27.649186533012653,0.011593085270976187,2.380725563227331,2.631578947368421
