chi_kappa,epsilon_asym,S_lat,cobb_like_deg,lat_dev_max,y_tip,D_geo,D_geo_norm
0.0,0.0,1.4910534843403254,38.83758846156405,0.3214746138842849,0.3214746138842849,0.0,0.0
0.0,0.005,1.4911420304260106,38.83379567655094,0.32148254370883356,0.32148254370883356,0.00014098463722155507,6.021920807634922e-05
0.0,0.01,1.491230523836054,38.83000552039243,0.32149046769176326,0.32149046769176326,0.00028240060490813756,0.0001205630630071122
0.0,0.02,1.491407352858854,38.82243308203863,0.3215062981620471,0.3215062981620471,0.0005666369391295192,0.00024167642871840178
0.0,0.03,1.4915839718670865,38.81487112135452,0.3215221053535693,0.3215221053535693,0.0008529979330885359,0.0003634939471706406
0.0,0.05,1.4919365816660997,38.79977853282686,0.32155365013304227,0.32155365013304227,0.0014435416367048462,0.0006177151123408346
0.004210526315789474,0.0,1.487244958690215,38.87675766305626,0.3212314028844105,0.3212314028844105,0.0,0.0
0.004210526315789474,0.005,1.4873193482103846,38.872969627383696,0.3212382027526382,0.3212382027526382,0.00017516589519573958,7.428257051151478e-05
0.004210526315789474,0.01,1.4873936832612698,38.86918422056846,0.32124499684651714,0.32124499684651714,0.0003499184565940521,0.00014831772186701413
0.004210526315789474,0.02,1.4875421901912493,38.86162128090937,0.32125856774019157,0.32125856774019157,0.0006982910571086448,0.00029569931191984056
0.004210526315789474,0.03,1.487690479951362,38.854068818930514,0.32127211562323177,0.32127211562323177,0.001045399684081884,0.00044230601881032456
0.004210526315789474,0.05,1.4879864098394424,38.83899522784642,0.32129914258758846,0.32129914258758846,0.0017471509052747823,0.0007423157630732088
0.008421052631578947,0.0,1.4834496586592825,38.91592823479772,0.3209873440359329,0.3209873440359329,0.0,0.0
0.008421052631578947,0.005,1.4835099874802495,38.912144953452746,0.3209930137465835,0.3209930137465835,0.00024367589381164986,0.00010259072026867774
0.008421052631578947,0.01,1.4835702604408443,38.90836430096909,0.3209986777132829,0.3209986777132829,0.00048637013373901955,0.00020467021128564418
0.008421052631578947,0.02,1.4836906390238191,38.900810869984795,0.32100998844346257,0.32100998844346257,0.0009689297361764587,0.0004073563554745892
0.008421052631578947,0.03,1.48381079489309,38.893267916696196,0.32102127628361776,0.32102127628361776,0.0014479898285387198,0.0006082487009104574
0.008421052631578947,0.05,1.4840504404224797,38.87821334303859,0.3210437835214339,0.3210437835214339,0.00240906591714152,0.0010162255980000836
0.01263157894736842,0.0,1.4796675064153406,38.955100311624875,0.32074243852117745,0.32074243852117745,0.0,0.0
0.01263157894736842,0.005,1.479713869554533,38.9513217895423,0.32074697787345163,0.32074697787345163,0.00032551684916151544,0.00013605436039571987
0.01263157894736842,0.01,1.4797601758373855,38.94754589632588,0.3207515114752966,0.3207515114752966,0.0006496838029664196,0.00027141674656132683
0.01263157894736842,0.02,1.4798526180841587,38.94000198389075,0.320760561456006,0.320760561456006,0.0012941100109392924,0.0005401408952162663
0.01263157894736842,0.03,1.4799448336548704,38.932468549171794,0.32076958851979576,0.32076958851979576,0.00193366170931541,0.0008064112864572399
0.01263157894736842,0.05,1.4801285867572145,38.917433012712934,0.3207875741215836,0.3207875741215836,0.0032151204299204032,0.0013465020264575597
0.016842105263157894,0.0,1.4758984247256874,38.994274024412896,0.32049668752801497,0.32049668752801497,0.0,0.0
0.016842105263157894,0.005,1.4759309163603567,38.99050026647473,0.32050009632157106,0.32050009632157106,0.00041283522672988597,0.00017129545472660543
0.016842105263157894,0.01,1.4759633505305196,38.98672913740915,0.3205034993213427,0.3205034993213427,0.0008240402519270329,0.0003417562634897684
0.016842105263157894,0.02,1.4760280467348488,38.979194753293925,0.32051028796751785,0.32051028796751785,0.0016417362945177387,0.000680267087026915
0.016842105263157894,0.03,1.476092513852717,38.971670846918975,0.32051705352238535,0.32051705352238535,0.002453564689801653,0.0010158288214565012
0.016842105263157894,0.05,1.476220762877317,38.956654367222114,0.3205305155805971,0.3205305155805971,0.004080776720561724,0.0016967088421750778
0.021052631578947368,0.0,1.4721423369513305,39.03344950019824,0.32025009224985207,0.32025009224985207,0.0,0.0
0.021052631578947368,0.005,1.4721610504271534,39.029680511235505,0.3202523702848068,0.3202523702848068,0.0005027852993556429,0.0002070950004098996
0.021052631578947368,0.01,1.4721797062108932,39.025914151152406,0.32025464244574303,0.32025464244574303,0.0010037010440716396,0.0004132317813432073
0.021052631578947368,0.02,1.4722168449672473,39.018389305023724,0.3202591691732329,0.3202591691732329,0.0020001392088096486,0.0008227431118566572
0.021052631578947368,0.03,1.4722537537496267,39.01087493666421,0.3202636724875477,0.3202636724875477,0.0029898947784927623,0.001228891562426462
0.021052631578947368,0.05,1.472326883501227,38.99587753308476,0.32027260909658106,0.32027260909658106,0.0049750192347059125,0.0020535326219329295
0.02526315789473684,0.0,1.4683991670413035,39.072626862297916,0.32000265388562493,0.32000265388562493,0.0,0.0
0.02526315789473684,0.005,1.468404194880876,39.06886264708984,0.3200038009625548,0.3200038009625548,0.0005941730535333443,0.00024294445511895653
0.02526315789473684,0.01,1.4684091651742728,39.06510106076969,0.32000494204835034,0.32000494204835034,0.0011862585683823281,0.00048481829637513833
0.02526315789473684,0.02,1.4684189333953785,39.057585762191934,0.3200072062739203,0.3200072062739203,0.0023644232070540415,0.0009654864385647278
0.02526315789473684,0.03,1.46842847224924,39.050080941416496,0.32000944661697917,0.32000944661697917,0.0035351832914748645,0.0014424246621629112
0.02526315789473684,0.05,1.4684468640253392,39.035102633104486,0.32001385587318043,0.32001385587318043,0.005884830720312816,0.002411415113725113
