Milestone,L,m,T_pred,Stable,Free_Energy
Sitting,0.3,5.0,0.26,True,0.0073881589473401
Sitting,0.3,5.0,0.27,True,0.005624234794876802
Sitting,0.3,5.0,0.28,True,0.0051740847028241
Sitting,0.3,5.0,0.29,True,0.0051740847028241
Sitting,0.3,5.0,0.3,True,0.005178220644477276
Sitting,0.3,5.0,0.31,True,0.005336001872194705
Sitting,0.3,5.0,0.32,True,0.005544370310179013
Sitting,0.3,5.0,0.33,True,0.0057901679475003374
Sitting,0.3,5.0,0.34,True,0.00606726858291296
Sitting,0.3,5.0,0.35000000000000003,True,0.006373121556821987
Sitting,0.3,5.0,0.36,True,0.006707221809361054
Sitting,0.3,5.0,0.37,True,0.007070369942157833
Sitting,0.3,5.0,0.38,True,0.0074642954631494295
Sitting,0.3,5.0,0.39,True,0.007891464239257734
Sitting,0.3,5.0,0.4,True,0.008354988667357833
Standing,0.6,10.0,0.0,False,inf
Standing,0.6,10.0,0.01,False,inf
Standing,0.6,10.0,0.02,False,inf
Standing,0.6,10.0,0.03,False,inf
Standing,0.6,10.0,0.04,False,inf
Standing,0.6,10.0,0.05,False,inf
Standing,0.6,10.0,0.06,False,inf
Standing,0.6,10.0,0.07,False,inf
Standing,0.6,10.0,0.08,False,inf
Standing,0.6,10.0,0.09,False,inf
Standing,0.6,10.0,0.1,False,inf
Standing,0.6,10.0,0.11,False,inf
Standing,0.6,10.0,0.12,False,inf
Standing,0.6,10.0,0.13,False,inf
Standing,0.6,10.0,0.14,False,inf
Standing,0.6,10.0,0.15,False,inf
Standing,0.6,10.0,0.16,False,inf
Standing,0.6,10.0,0.17,False,inf
Standing,0.6,10.0,0.18,False,inf
Standing,0.6,10.0,0.19,False,inf
Standing,0.6,10.0,0.2,False,inf
Standing,0.6,10.0,0.21,False,inf
Standing,0.6,10.0,0.22,False,inf
Standing,0.6,10.0,0.23,False,inf
Standing,0.6,10.0,0.24,False,inf
Standing,0.6,10.0,0.25,False,inf
Standing,0.6,10.0,0.26,False,inf
Standing,0.6,10.0,0.27,False,inf
Standing,0.6,10.0,0.28,False,inf
Standing,0.6,10.0,0.29,False,inf
Standing,0.6,10.0,0.3,False,inf
Standing,0.6,10.0,0.31,False,inf
Standing,0.6,10.0,0.32,False,inf
Standing,0.6,10.0,0.33,False,inf
Standing,0.6,10.0,0.34,False,inf
Standing,0.6,10.0,0.35000000000000003,False,inf
Standing,0.6,10.0,0.36,False,inf
Standing,0.6,10.0,0.37,True,14.34209143546751
Standing,0.6,10.0,0.38,True,7.645987859370971
Standing,0.6,10.0,0.39,True,3.6009500665380214
Standing,0.6,10.0,0.4,True,1.628645642055512
