active_curvature,cobb_angle,S_lat,max_curvature,end_to_end_distance
0.0,19.314839893917924,0.2062144285952021,43.10853908268708,0.33763830991813953
2.0,42.76444126260451,0.652102180921161,80.07340401200427,0.5045845151419367
4.0,9.528182617258423,0.24351832910584612,91.49196332775598,0.3244238322535526
6.0,58.89089266966506,0.2802835966810281,97.49641207320337,0.4116723493791526
8.0,27.740177157694347,0.8964015154497919,108.06123056426551,0.16559241160734994
10.0,41.24773926291948,0.5430981466774277,136.61838348518387,0.2349890339949353
12.0,23.156315224112515,0.6103623723863739,156.38202678023077,0.15888423568853424
14.0,17.578357720598767,1.1735877868085156,154.35238076122005,0.3069670332743639
16.0,52.08945256070954,0.5257556503368452,148.7352194972938,0.17055291549163215
18.0,19.323388085587474,0.377098889044381,137.10581655193906,0.09587186321531145
20.0,38.79295758863835,1.1560909324528423,143.73190140426408,0.2265386981034612
22.0,68.24777250157295,0.488172846563603,149.70600556278816,0.14249026877857085
24.0,62.121472731352405,0.6792902437834129,121.0813162016294,0.22575899370719874
26.0,60.968209177640674,1.2283614868141741,126.47320322379983,0.21948695907753835
28.0,48.81996466136512,0.47801850979221955,138.53303477273946,0.14492852409829848
30.0,24.747214573326005,0.3555722027681722,144.98385569798614,0.1079956459262554
