cycles_per_day,avg_coupling,min_coupling
0,0.0955333935824589,2.7709091101671947e-05
1,0.5195333913150897,0.22452909075368965
2,0.7057120257831268,0.47532808885559175
5,0.8666391222452672,0.7408182206817171
10,0.9315152184199779,0.8607079764250573
20,0.9664305442520948,0.9277434863285525
50,0.9881291476016083,0.9753099120283325
100,0.9953335878420614,0.9875778004938813
