Condition,eta_p,eta_a,Gamma_m,total
"Chair (N=3, shallow)",171839.6167690628,14516831.572449429,16.860000000000003,14688688.049218493
"Floor (N=50, deep)",201561538.40732327,202866055.0956728,262.0,404427855.5029961
