Metric,Floor_Cycle,Chair_Cycle
eta_p_total,2742342.890344428,2252827.33381173
eta_a_total,111518.11739838177,108129.3698677026
gamma_m_total,2.964925581273264,1.6838258890984943
total,2853863.9726683907,2360958.3875053218
