Stage,Length_L,Delay_tau,FreeEnergy_Adaptive,FreeEnergy_Lagging,Effort_Adaptive,Effort_Lagging
Sitting Infant,0.5,0.1,0.9319984605600011,1.1452802330965128,0.2964575896411118,0.2969972539648406
Standing Child,1.0,0.15,1.043659309316875,1.419821341920747,0.5889574909163514,0.5719877883392706
Adolescent (Spurt),1.6,0.22,1.3743619609848443,1.645863290616486,0.9132635448355957,0.889888244966553
Adult,1.8,0.25,1.5571584697752718,1.7214047311414244,1.032384405104013,1.0543251068285382
