time,F_death,F_life,F_ideal
0.0,0.018922499999999995,0.05878932263827402,0.018922499999999995
0.01001669449081803,0.018922580090942095,0.045528812070243924,0.01769723896140011
0.02003338898163606,0.018922843826319355,0.035763639663236556,0.016586533964447765
0.030050083472454088,0.018923361708301112,0.02850494827783472,0.015577515735463216
0.04006677796327212,0.0189242516237271,0.02305810266580461,0.01465885653841587
0.05008347245409015,0.018925679420616202,0.01893121022981915,0.013820581658358892
0.060100166944908176,0.018927859718629966,0.015773247162191823,0.013053904111633277
0.07011686143572621,0.01893105695685779,0.01333185188246672,0.012351079711149144
0.08013355592654424,0.01893558668327519,0.011424296860061587,0.011705279970914188
0.09015025041736227,0.0189418170912282,0.009917365069439917,0.01111048064565207
0.1001669449081803,0.018950170809318993,0.008713292350062336,0.01056136397433511
0.11018363939899833,0.018961126952115347,0.007739874517679174,0.010053232935560617
0.12020033388981635,0.01897522344018213,0.006943455750379942,0.009581936032140637
0.1302170283806344,0.01899305959904203,0.006283925010996207,0.009143801305739396
0.14023372287145242,0.019015299047818582,0.005731121889744745,0.00873557844311004
0.15025041736227046,0.019042672889501715,0.005262238503677924,0.008354387976277636
0.16026711185308848,0.01907598321600899,0.004859929989566657,0.007997676702364382
0.1702838063439065,0.019116106942498916,0.004510932310390685,0.007663178556820622
0.18030050083472454,0.019163999986730643,0.004205045506401461,0.007348880268509042
0.19031719532554256,0.01799536068111998,0.004072687145925596,0.007052991208049562
0.2003338898163606,0.016845579468371893,0.003944503733180541,0.006773916913523626
0.21035058430717862,0.015716785735824558,0.0038203611508009624,0.006510235841331602
0.22036727879799667,0.014611432002758567,0.003700129995257482,0.0062606789458117245
0.2303839732888147,0.013532308312272612,0.0035836853542056245,0.006024111740139788
0.2404006677796327,0.01248255912617966,0.0034709066011055557,0.005799518533890884
0.25041736227045075,0.011465702888944709,0.003361677205216039,0.005585988580207667
0.2604340567612688,0.0104856544480045,0.003255884555299347,0.005382703898439476
0.2704507512520868,0.009546750540700897,0.0031534197955779366,0.005188928566968657
0.28046744574290483,0.008653778582682826,0.00305417767266214,0.005003999306227658
0.2904841402337229,0.007812009019158937,0.002958056392324169,0.004827317194074483
0.3005008347245409,0.007027231528999222,0.002864957485130206,0.004658340375120967
0.3105175292153589,0.006305795402586747,0.0027747856800616633,0.004496577642636948
0.32053422370617696,0.005654654447724763,0.002687448785361037,0.004341582786580265
0.330550918196995,0.005081416814038591,0.0026028575759289995,0.0041929496143873896
0.340567612687813,0.004594400165424312,0.002520925686679205,0.0040503075626304045
0.35058430717863104,0.004202692672453539,0.0024415695113269484,0.003913317827702162
0.3606010016694491,0.003916220342533488,0.0023647081061489517,0.0037816699525078335
0.37061769616026713,0.0037458212553542454,0.002290263098304811,0.003655078813870849
0.3806343906510851,0.003695263850159979,0.0022181585983573845,0.003533281962138513
0.39065108514190316,0.003757349206581051,0.002148321116670203,0.003416037270415225
0.4006677796327212,0.00392434788527167,0.002080679483395754,0.0033031208560621323
0.4106844741235392,0.004187968480772353,0.0020151647717997416,0.003194325241671572
0.42070116861435725,0.004539331428870782,0.0019517102246938468,0.003089457726732017
0.4307178631051753,0.004968948855556597,0.0018902511837734879,0.0029883389447138108
0.44073455759599334,0.005466711390280501,0.0018307250216781125,0.0028908015833884002
0.4507512520868113,0.006021883017411163,0.0017730710766099894,0.002796689248897648
0.4607679465776294,0.006623105208417205,0.001717230589363649,0.002705855456461451
0.4707846410684474,0.007258411765463495,0.0016631466426323095,0.002618162732692591
0.4808013355592654,0.007915256017094268,0.001610764102470121,0.002533481816313044
0.49081803005008345,0.008580552241012313,0.0015600295618000137,0.002451690945667702
0.5008347245409015,0.009240733450449772,0.0015108912858666321,0.0023726752228367173
0.5108514190317195,0.009881827972350534,0.001463299159542314,0.002296326045381071
0.5208681135225376,0.01048955757095752,0.0014172046364016248,0.0022225405978383503
0.5308848080133556,0.011049460233189246,0.0013725606894865888,0.0021512213960358127
0.5409015025041736,0.011547041136560916,0.0013293217636906468,0.0020822758781218476
0.5509181969949917,0.011967955770954187,0.0012874437296945926,0.0020156160369491933
0.5609348914858097,0.012298229687346302,0.001246883839392377,0.0019511580890862227
0.5709515859766277,0.012531918804025755,0.0012076006827488116,0.0018888221762972434
0.5809682804674458,0.012664809336365917,0.0011695541460348823,0.0018285320958287025
0.5909849749582637,0.012694449703764875,0.0011327053713897036,0.0017702150562738258
0.6010016694490818,0.012620173060118797,0.001097016717661103,0.0017138014561710077
0.6110183639398998,0.012443108401581788,0.001062451722479495,0.0016592246828275917
0.6210350584307178,0.012166178119837005,0.0010289750655221295,0.0016064209291563557
0.6310517529215359,0.011794079794906868,0.000996552532926972,0.001555329026571867
0.6410684474123539,0.011333249963362452,0.0009651509828174776,0.001505890292222415
0.6510851419031719,0.010791807561182117,0.0009347383119013113,0.00145804838903419
0.66110183639399,0.01017947473194396,0.0009052834231077648,0.0014117491972211883
0.671118530884808,0.009507472718100967,0.0008767561942301086,0.0013669406960698809
0.681135225375626,0.008788390624626777,0.000849127447540553,0.0013235728549446236
0.6911519198664441,0.00803602497062082,0.0008223689203467849,0.0012815975325803244
0.7011686143572621,0.007265188137458334,0.0007964532364602639,0.0012409683838350706
0.7111853088480802,0.006491484095578379,0.0007713538785475825,0.0012016407731689385
0.7212020033388982,0.005731050161979575,0.000747045161337259,0.0011635716941976529
0.7312186978297162,0.005000264025336394,0.0007235022056553286,0.0011267196947424246
0.7412353923205343,0.004315415896529713,0.0007007009132640134,0.0010910448068614047
0.7512520868113522,0.003692346423624168,0.0006786179424786582,0.0010565084814047354
0.7612687813021702,0.003145832507526268,0.0006572306845389341,0.001023073526685112
0.7712854757929883,0.00268934946464441,0.0006365172407111236,0.0009907040508998557
0.7813021702838063,0.002334848726794968,0.0006164564000990384,0.0009593654079794562
0.7913188647746243,0.0020925539528881074,0.0005970276181418567,0.0009290241465719879
0.8013355592654424,0.0019707785377350044,0.0005782109957778505,0.0008996479619032724
0.8113522537562604,0.001975767572353752,0.0005599872592536344,0.0008712056502796211
0.8213689482470784,0.002111567330771381,0.0005423377405591998,0.0008436670660238927
0.8313856427378965,0.0023799253235023826,0.0005252443584696121,0.0008170030806567486
0.8414023372287145,0.0027802238603135774,0.0005086896001748332,0.0007911855441537849
0.8514190317195326,0.0033094498970643914,0.000492656503479695,0.0007661872481258734
0.8614357262103506,0.003962203695814792,0.00047712863955660023,0.0007419818907848527
0.8714524207011686,0.004730748496661205,0.00046209009623404825,0.000718544043569877
0.8814691151919867,0.005605102976950702,0.0004475254618045996,0.0006958491193214322
0.8914858096828047,0.006573177752421797,0.00043341980933637905,0.0006738733419004751
0.9015025041736227,0.007620956550330761,0.0004197586814727019,0.000652593717159445
0.9115191986644408,0.008732721953246095,0.00040652807570486243,0.0006319880051801996
0.9215358931552587,0.009891324772611221,0.0003937144301035789,0.0006120346937013534
0.9315525876460767,0.01107849516495278,0.00038130460949502005,0.0005927129726641207
0.9415692821368948,0.012275192556051397,0.0003692858920677585,0.0005740027098117194
0.9515859766277128,0.013461942330034043,0.00035764595639740894,0.0005558844272827153
0.9616026711185308,0.01461918122146427,0.000346372868876103,0.0005383392791434735
0.9716193656093489,0.015727606382066373,0.0003354550715343382,0.0005213490298091905
0.9816360601001669,0.016768522886093797,0.0003248813702431118,0.0005048960333068442
0.991652754590985,0.01772418428313794,0.00031464092328461547,0.0004889632133369065
1.001669449081803,0.018578120713674953,0.0003047232302801171,0.00047353404409380907
1.011686143572621,0.019315449080146298,0.00029511812146399633,0.00045859253180800715
1.021702838063439,0.019923159823944867,0.0002858157472932383,0.00044412319697507757
1.0317195325542572,0.02039037500500912,0.00027680656838200703,0.0004301110572396251
1.0417362270450752,0.020708572623850226,0.0002680813457512367,0.00041654161090391305
1.0517529215358932,0.020871772472880558,0.0002596311313834815,0.0004034008210330665
1.0617696160267112,0.020876679260806132,0.0002514472590735619,0.0003906751001304769
1.0717863105175292,0.02072277932499751,0.00024352133556582983,0.0003783512953586483
1.0818030050083471,0.0204123879347105,0.00023584523196915627,0.0003664166742822129
1.0918196994991654,0.01995064499311718,0.00022841107544101387,0.00035485891111119565
1.1018363939899833,0.019345457866086803,0.00022121124113228948,0.00034366607342386704
1.1118530884808013,0.0186073910953563,0.00021423834438471874,0.00033282660934965964
1.1218697829716193,0.01774950388474294,0.00020748523317307805,0.0003223293351936945
1.1318864774624373,0.01678713746845616,0.0002009449807845156,0.0003121634234854364
1.1419031719532553,0.015737659952439427,0.00019461087872763017,0.0003023183914349075
1.1519198664440735,0.014620172663022105,0.0001884764298641375,0.00029278408978072445
1.1619365609348915,0.013455182714749714,0.00018253534175618016,0.0002835506920150101
1.1719532554257095,0.012264247134269317,0.00017678152022255377,0.0002746086839709532
1.1819699499165275,0.011069594437276063,0.00017120906309732548,0.000265948853759468
1.1919866444073455,0.00989373003842288,0.0001658122541845239,0.0002575622820420395
1.2020033388981637,0.008759032267603193,0.00016058555740277382,0.000249440332627428
1.2120200333889817,0.007687346058460387,0.00015552361111393793,0.00024157464338046418
1.2220367278797997,0.006699581555462993,0.00015062122263000997,0.00023395711743168267
1.2320534223706177,0.005815324944624729,0.00014587336289268452,0.00022657991467703396
1.2420701168614356,0.005052468741602957,0.00014127516132019711,0.0002194354435573693
1.2520868113522536,0.0044268685629368,0.00013682190081619981,0.0002125163531078315
1.2621035058430718,0.0039520330571997265,0.00013250901293559544,0.00020581552526769163
1.2721202003338898,0.0036388531809587654,0.00012833207320241518,0.00019932606744155505
1.2821368948247078,0.0034953763706168993,0.0001242867965749733,0.0001930413053032312
1.2921535893155258,0.003526630389590806,0.00012036903305368319,0.0001869547758339033
1.3021702838063438,0.003734500728413572,0.00011657476342706064,0.00018106022058656594
1.312186978297162,0.004117664414507355,0.00011290009515158112,0.00017535157916900694
1.32220367278798,0.004671581963672127,0.00010934125836119084,0.00016982298293791108
1.332220367278798,0.005388548129201962,0.00010589460200240344,0.0001644687488969406
1.342237061769616,0.006257801078432466,0.00010255659009104098,0.00015928337379191945
1.352253756260434,0.007265688592026439,9.932379808679909e-05,0.0001542615283965031
1.362270450751252,0.008395888855317961,9.619290938193787e-05,0.00014939805198195958
1.3722871452420702,0.009629682411003322,9.31607119005135e-05,0.00014468794696492282
1.3823038397328882,0.010946270886117819,9.022409480467795e-05,0.0001401263737272003
1.3923205342237062,0.01232313721128345,8.738004530468326e-05,0.00013570864560193078
1.4023372287145242,0.013736441234032422,8.462564556933169e-05,0.00013143022402059353
1.4123539232053421,0.015161443907303417,8.195806973371409e-05,0.00012728671381556392
1.4223706176961604,0.016572952624628164,7.93745810011793e-05,0.00012327385867309866
1.4323873121869783,0.017945779789314654,7.687252883657107e-05,0.00011938753673181398
1.4424040066777963,0.019255206358530196,7.444934624786364e-05,0.00011562375632189094
1.4524207011686143,0.020477441904853223,7.210254715341537e-05,0.00011197865184040947
1.4624373956594323,0.021590072695307595,6.98297238321481e-05,0.00010844847975836926
1.4724540901502503,0.02257248940592141,6.762854445404367e-05,0.00010502961475511082
1.4824707846410685,0.02340628637004246,6.549675068843058e-05,0.00010171854597599399
1.4924874791318865,0.024075624699056268,6.343215538761393e-05,9.851187340933508e-05
1.5025041736227045,0.024567552209106912,6.143264034347744e-05,9.540630437873687e-05
1.5125208681135225,0.02487227382731018,5.949615411476144e-05,9.239865014707842e-05
1.5225375626043405,0.02498336698583931,5.762070992279249e-05,8.948582262855614e-05
1.5325542570951585,0.024897937454046896,5.580438361351027e-05,8.666483120528887e-05
1.5425709515859767,0.024616712092669288,5.404531168370478e-05,8.393277964511685e-05
1.5525876460767947,0.024144066123438456,5.2341689369442463e-05,8.128686311733628e-05
1.5626043405676127,0.02348798367369588,5.069176879472375e-05,7.872436530321957e-05
1.5726210350584306,0.022659951559020734,4.909385717847541e-05,7.624265559827622e-05
1.5826377295492486,0.021674787486469133,4.7546315098040984e-05,7.383918640330934e-05
1.5926544240400669,0.020550405074992395,4.604755480739055e-05,7.151149050142068e-05
1.6026711185308848,0.019307519275758956,4.459603860832627e-05,6.925717851821016e-05
1.6126878130217028,0.017969296911231756,4.3190277273015174e-05,6.707393646250631e-05
1.6227045075125208,0.016560958116154587,4.182882851623248e-05,6.495952334505223e-05
1.6327212020033388,0.015109335435150492,4.0510295515749834e-05,6.291176887265423e-05
1.6427378964941568,0.013642398190834706,3.9233325479352104e-05,6.092857121538369e-05
1.652754590984975,0.012188750465380819,3.799660825701392e-05,5.900789484449928e-05
1.662771285475793,0.010777111621767973,3.679887499681363e-05,5.7147768438833975e-05
1.672787979966611,0.009435788715543098,3.563889684320661e-05,5.534628285746408e-05
1.682804674457429,0.00819215040394631,3.4515483676323776e-05,5.360158917654772e-05
1.692821368948247,0.0070721120401180644,3.342748289100273e-05,5.191189678828979e-05
1.7028380634390652,0.006099641542899168,3.237377821429977e-05,5.027547156005531e-05
1.7128547579298832,0.005296295359066311,3.13532885602705e-05,4.8690634051717864e-05
