Age_Years,Length_m,Growth_Velocity,Mass_kg_proxy,Neural_Delay_tau,Cognitive_Horizon_Tpred,Derivative_Gain_Gap,Free_Energy_F,Baseline_Energy
0.0,0.5000000182759754,2.9588214006670552e-08,10.000001096558563,0.0833333345517317,0.0833333345517317,0.0,10.000001096558563,10.000001096558563
0.10050251256281408,0.5000000212496652,3.1995368576787087e-08,10.000001274979969,0.08333333474997769,0.0833333345517317,1.9824598906925672e-10,10.000001374102975,10.000001274979969
0.20100502512562815,0.5000000247072053,3.720134555962318e-08,10.00000148243239,0.08333333498048034,0.08333333456169381,4.187865332294649e-10,10.000001691825691,10.00000148243239
0.30150753768844224,0.5000000287273226,4.3254388071289895e-08,10.000001723639457,0.08333333524848818,0.08333333458273837,6.657498163864517e-10,10.000002056514429,10.000001723639457
0.4020100502512563,0.5000000334015545,5.0292323194867095e-08,10.000002004093405,0.08333333556010364,0.08333333461619313,9.439105053132835e-10,10.000002476048763,10.000002004093405
0.5025125628140704,0.5000000388363323,5.847540274217522e-08,10.000002330180118,0.08333333592242215,0.08333333466362582,1.2587963310606298e-09,10.000002959578449,10.000002330180118
0.6030150753768845,0.5000000451554043,6.798995322299106e-08,10.000002709324502,0.08333333634369362,0.08333333472688191,1.6168117122905556e-09,10.00000351773061,10.000002709324502
0.7035175879396985,0.5000000525026546,7.90526204497155e-08,10.000003150159603,0.0833333368335103,0.08333333480812873,2.0253815707915734e-09,10.000004162850757,10.000003150159603
0.8040201005025126,0.5000000610453783,9.191529715124602e-08,10.000003662723145,0.08333333740302523,0.0833333349099067,2.493118531066152e-09,10.000004909282945,10.000003662723145
0.9045226130653267,0.5000000709780912,1.068708632701032e-07,10.000004258686076,0.08333333806520608,0.08333333503518904,3.0300170428265716e-09,10.000005773695356,10.000004258686076
1.0050251256281408,0.5000000825269588,1.2425985396191663e-07,10.000004951618347,0.08333333883513058,0.0833333351874512,3.6476793807693753e-09,10.000006775459108,10.000004951618347
1.105527638190955,0.5000000959549462,1.4447821161667207e-07,10.000005757297878,0.08333333973032975,0.08333333537075167,4.3595780735428136e-09,10.000007937088405,10.000005757297878
1.206030150753769,0.5000001115678054,1.6798630486647426e-07,10.000006694069821,0.08333334077118704,0.08333333558982595,5.181361090178527e-09,10.000009284752437,10.000006694069821
1.306532663316583,0.5000001297210377,1.9531940598227493e-07,10.00000778326428,0.08333334198140252,0.08333333585019585,6.131206667370215e-09,10.00001084887047,10.00000778326428
1.407035175879397,0.5000001508279875,2.2709988201086162e-07,10.000009049681982,0.08333334338853252,0.08333333615829669,7.230235826716225e-09,10.000012664803819,10.000009049681982
1.5075376884422111,0.5000001753692551,2.640513669938116e-07,10.000010522158998,0.083333345024617,0.08333333652162513,8.502991880043886e-09,10.000014773660315,10.000010522158998
1.6080402010050252,0.5000002039036392,3.070152367889989e-07,10.000012234223341,0.08333334692690927,0.08333333694891115,9.977998122190357e-09,10.00001722322975,10.000012234223341
1.7085427135678393,0.5000002370808605,3.56969766635018e-07,10.000014224858376,0.08333334913872403,0.0833333374503181,1.1688405937571034e-08,10.000020069071365,10.000014224858376
1.8090452261306533,0.5000002756563561,4.1505240666595e-07,10.000016539390483,0.08333335171042375,0.08333333803767518,1.3672748572224336e-08,10.000023375778412,10.000016539390483
1.9095477386934674,0.50000032050848,4.82585683414527e-07,10.000019230521126,0.08333335470056533,0.08333333872474796,1.5975817363456102e-08,10.00002721844836,10.000019230521126
