T_pred,Pi_y1,Stable,Control_Effort
0.0,0.1,False,
0.0,0.28,False,
0.0,0.45999999999999996,True,10.859314218051564
0.0,0.64,True,4.4286706426662255
0.0,0.82,True,3.8242353893030825
0.0,1.0,True,7.068028369691218
0.05,0.1,False,
0.05,0.28,True,9.79539354529625
0.05,0.45999999999999996,True,2.4338620521441543
0.05,0.64,True,0.993578316050063
0.05,0.82,True,0.6861330911012564
0.05,1.0,True,0.6922248888969882
0.1,0.1,True,12.191399645867094
0.1,0.28,True,2.8811914832172185
0.1,0.45999999999999996,True,1.0485643920344125
0.1,0.64,True,0.5862685366165591
0.1,0.82,True,0.4290500882058894
0.1,1.0,True,0.5516646354681869
0.15000000000000002,0.1,True,4.040113857909194
0.15000000000000002,0.28,True,1.34411582966139
0.15000000000000002,0.45999999999999996,True,0.7119508926442581
0.15000000000000002,0.64,True,0.48724611802817974
0.15000000000000002,0.82,True,0.46006453895189403
0.15000000000000002,1.0,True,0.570864356245299
0.2,0.1,True,1.8053144426004128
0.2,0.28,True,0.8859118053784387
0.2,0.45999999999999996,True,0.5782873010061589
0.2,0.64,True,0.440219432822158
0.2,0.82,True,0.4360477173924969
0.2,1.0,True,0.5148472555638859
0.25,0.1,True,1.0787455450619388
0.25,0.28,True,0.6754181300385874
0.25,0.45999999999999996,True,0.4993684168633003
0.25,0.64,True,0.4056863210645496
0.25,0.82,True,0.3899789260195841
0.25,1.0,True,0.4335601199828369
