T_pred,Free_Energy,Stable,Control_Effort
0.0,96.10609856753955,True,7.068028369691218
0.010256410256410256,51.663752372945815,True,3.874174318112276
0.020512820512820513,27.81015257832908,True,2.271517620799045
0.03076923076923077,15.664634985492713,True,1.395227093625885
0.041025641025641026,9.202195655393336,True,0.934636750190533
0.05128205128205128,5.789735922431325,True,0.6922248888969882
0.06153846153846154,3.9240563970182603,True,0.5661735369567867
0.07179487179487179,2.956095938388198,True,0.5255163974232651
0.08205128205128205,2.4402717242401306,True,0.5304998060581193
0.09230769230769231,2.0978520770659457,True,0.5421257177469082
0.10256410256410256,1.8471893324233355,True,0.5516646354681869
0.11282051282051282,1.668976047453431,True,0.5591837272110698
0.12307692307692308,1.5512875673514843,True,0.5647640568791957
0.13333333333333333,1.4832277137074428,True,0.5684993446858885
0.14358974358974358,1.4508427173085847,True,0.5704945535620114
0.15384615384615385,1.4371887942357857,True,0.570864356245299
0.1641025641025641,1.4310017399232282,True,0.5697315014091218
0.17435897435897435,1.428275707294728,True,0.5672251004253978
0.18461538461538463,1.4283177922571222,True,0.5634788593164227
0.19487179487179487,1.9607934038096422,True,0.5376063737347788
0.20512820512820512,2.4404426597718825,True,0.5148472555638859
0.2153846153846154,2.8754627982781606,True,0.49471496455303726
0.22564102564102564,3.272432384269453,True,0.47681496622192887
0.2358974358974359,3.636679994396006,True,0.46082500837724427
0.24615384615384617,3.972560723538672,True,0.4464799607537503
0.2564102564102564,4.283664956568308,True,0.4335601199828369
0.26666666666666666,4.572977160691372,True,0.4218821478655882
0.27692307692307694,4.842997608152374,True,0.4112920142696261
0.28717948717948716,5.0958364377769385,True,0.4016594703513176
0.29743589743589743,5.333286936532179,True,0.3928736943425195
0.3076923076923077,5.556883097158062,True,0.38483983976144837
0.31794871794871793,5.7679451874359025,True,0.377476281630986
0.3282051282051282,5.9676161083039645,True,0.3707124055435292
0.3384615384615385,6.156890619566641,True,0.3644868213417339
0.3487179487179487,6.336639000284923,True,0.3587459109176485
0.358974358974359,6.507626333921792,True,0.353442640512965
0.36923076923076925,6.6705283287316695,True,0.3485355836775326
0.37948717948717947,6.825944375137158,True,0.34398811300896454
0.38974358974358975,6.974408384883928,True,0.3397677279146537
0.4,7.252341372233323,True,0.33219556403094835
