Age_Years,Length_L,Growth_Velocity,Physical_Delay_tau,Cognitive_T_pred,Temporal_Gap,Free_Energy_Cost,Free_Energy_Perfect,Stable
5.0,0.6002472984472565,0.0003253605350274305,0.09001648656315045,0.09001648656315045,0.0,0.002465795571607293,0.002465795571607293,True
5.151515151515151,0.6002965954980183,0.0003577791107460815,0.09001977303320122,0.09001648656315045,3.2864700507673206e-06,0.0024659550423704896,0.0024659550423704896,True
5.303030303030303,0.6003557163596038,0.0004290719685786648,0.09002371442397358,0.09001681852982224,6.895894151343063e-06,0.0024661463105145704,0.0024661463105145704,True
5.454545454545455,0.6004266173066785,0.0005145597876361485,0.09002844115377856,0.09001751508478702,1.0926068991543025e-05,0.002466375716106011,0.002466375716106011,True
5.606060606060606,0.6005116435679785,0.0006170639815941126,0.09003410957119856,0.09001861872811949,1.549084307907178e-05,0.0024666508633032847,0.0024666508633032847,True
5.757575757575758,0.60061360639201,0.0007399645997703264,0.09004090709280066,0.09002018345974364,2.0723633057023738e-05,0.0024669808723701307,0.0024669808723701307,True
5.909090909090909,0.6007358752648786,0.0008873099922597216,0.09004905835099192,0.09002227675601202,2.678159497990218e-05,0.002467376681920109,0.002467376681920109,True
6.0606060606060606,0.6008824882078463,0.0010639475889151484,0.09005883254718976,0.09002498196762615,3.3850579563607375e-05,0.002467851411399396,0.002467851411399396,True
6.212121212121212,0.6010582836251559,0.0012756796744342047,0.09007055224167707,0.09002840121808713,4.215102358993972e-05,0.002468420795805606,0.002468420795805606,True
6.363636363636363,0.6012690578061597,0.0015294486739476643,0.09008460385374398,0.09003265889723762,5.194495650635844e-05,0.0024691037070262312,0.0024691037070262312,True
6.515151515151516,0.6015217529202915,0.0018335571607059897,0.0901014501946861,0.09003790586254129,6.354433214481037e-05,0.002469922779038081,0.002469922779038081,True
6.666666666666667,0.6018246811881919,0.002197928546851635,0.09012164541254614,0.09004432448194985,7.732093059628631e-05,0.002470905157631561,0.002470905157631561,True
