torsion_drive,cobb_angle,S_lat,success
0.0,0.8746201428356366,0.018617947280536326,True
0.35714285714285715,71.09912298662903,1.6043558889118676,True
0.7142857142857143,67.73917314431655,0.826836207664618,True
1.0714285714285714,49.79976367563198,0.8129069647680172,True
1.4285714285714286,27.871115071717764,0.8374549480599258,True
1.7857142857142858,53.83357118293689,0.2811271230146991,True
2.142857142857143,30.20942246671157,0.5081238788548528,True
2.5,24.26076588949445,1.349750774237276,True
2.857142857142857,100.92263019630295,0.7815080371761062,True
3.2142857142857144,40.80322004295074,1.3305620441626407,True
3.5714285714285716,43.71216143448755,0.546809207804021,True
3.928571428571429,71.46368085829472,0.9715710380474156,True
4.285714285714286,113.7405963393864,0.7168740179934358,True
4.642857142857143,83.96640445035568,2.3835727467070345,True
5.0,7.32732973669753,1.8884250143990429,True
