torsion_drive,anisotropy,length,n_elements,active_curvature,initial_defect,duration,dt
0.0,1.2,0.5,50,6.0,0.05,2.0,0.0001
0.35714285714285715,1.2,0.5,50,6.0,0.05,2.0,0.0001
0.7142857142857143,1.2,0.5,50,6.0,0.05,2.0,0.0001
1.0714285714285714,1.2,0.5,50,6.0,0.05,2.0,0.0001
1.4285714285714286,1.2,0.5,50,6.0,0.05,2.0,0.0001
1.7857142857142858,1.2,0.5,50,6.0,0.05,2.0,0.0001
2.142857142857143,1.2,0.5,50,6.0,0.05,2.0,0.0001
2.5,1.2,0.5,50,6.0,0.05,2.0,0.0001
2.857142857142857,1.2,0.5,50,6.0,0.05,2.0,0.0001
3.2142857142857144,1.2,0.5,50,6.0,0.05,2.0,0.0001
3.5714285714285716,1.2,0.5,50,6.0,0.05,2.0,0.0001
3.928571428571429,1.2,0.5,50,6.0,0.05,2.0,0.0001
4.285714285714286,1.2,0.5,50,6.0,0.05,2.0,0.0001
4.642857142857143,1.2,0.5,50,6.0,0.05,2.0,0.0001
5.0,1.2,0.5,50,6.0,0.05,2.0,0.0001
