torsion_drive,cobb_angle,s_lat,max_curvature,max_torsion
0.0,71.42032611626438,0.831467111303773,125.09508698713226,39.35971876520469
0.1,27.718126718685788,1.0315141204229035,151.3901759179712,86.2977582174952
0.2,48.27370261865084,0.8728690188194144,147.75787543574287,122.7881765815843
0.30000000000000004,11.665450219500972,0.45095679605198563,154.66761769923207,121.29011822980972
0.4,77.00345090106373,1.0007032578095336,129.27441035585124,119.0074384751384
0.5,69.7605755625337,0.4217644560365517,47.43800111193605,94.18242759809509
0.6000000000000001,23.134585491205193,0.5158734690419723,86.17597496418452,115.47080123858947
0.7000000000000001,69.10035221206725,1.3275110538078836,88.65851008083656,108.64774342242424
0.8,66.53869137666727,1.517129610233125,57.671850479242984,117.78702875774343
0.9,79.53553858583929,0.5873220353003487,107.3419167498459,135.38243542001578
1.0,101.28566144679841,0.7371688875839092,73.66413966356697,125.73140965465734
1.1,63.938409617159,1.1706455640721907,71.30972677095163,137.4356406413955
1.2000000000000002,10.994216340075033,0.27223183076020124,88.38132169717852,143.87108845875616
1.3,64.78443164452412,0.6149309734883276,61.67038761358873,139.58622340941392
1.4000000000000001,28.046908259699354,0.66548608900733,55.08047801925305,149.88610200996214
1.5,77.64327435215226,0.8373154995444876,52.98296646748377,146.9568634734682
1.6,20.43167557625994,1.2779774781483113,59.20770837929777,135.5037208013811
1.7000000000000002,47.84865162997553,0.7506623262421468,54.10474279242392,145.57484335486154
1.8,44.987959259861945,0.5475284394168302,60.05157195127681,145.24414638780883
1.9000000000000001,64.50411711922045,2.2442025007244077,45.95625563481506,139.48700905688284
2.0,35.645439206082884,0.6673361330300078,44.594885732182156,139.93554199603608
