input_anisotropy,input_active_curvature,mapped_chi_kappa,mapped_chi_tau,runtime_sec,peak_memory_mb,success,error,max_curvature,max_torsion,end_to_end_distance,S_lat,cobb_angle,z_tip,x_tip,y_tip,bending_energy,shear_energy,translational_energy,rotational_energy,gravitational_energy,U_gravity,U_elastic,U_elastic_straight,U_info,U_CC,U_kinetic,info_gain_ratio,active_curvature
2.0,5.0,25.0,2.5,8.553502798080444,15.524090766906738,True,,95.73170789016196,136.21349086680053,0.46439580336625924,0.20229648457022226,20.364469180251962,-0.07363760918347945,0.027503614016345133,-0.4576947846698434,19.66601412614258,0.37162866366366243,0.7007516467228644,0.5707280185369563,-0.4693951744191345,-0.4693951744191345,20.037642789806245,18.877494197635748,4.542814444857333,13.865284578359281,1.2714796652598208,0.2348085192144162,5.0
2.0,6.428571428571429,32.142857142857146,2.5,7.076539754867554,0.16448116302490234,True,,77.24518781019206,130.32211530944815,0.42433245875794046,1.8453627828170582,36.47054463247487,-0.020033072988642982,-0.42280240225782034,0.029913879507800622,19.88351421990887,0.19935867511013666,0.7612771622397835,0.6041632727644803,-0.27374553252953443,-0.27374553252953443,20.08287289501901,15.356774556351033,4.261639965455453,10.821389058366044,1.3654404350042637,0.2726486349284789,6.428571428571429
2.0,7.857142857142858,39.28571428571429,2.5,6.017925977706909,0.1631765365600586,True,,76.65120821570657,123.84888615316923,0.5852121304896273,2.140125083704984,125.07099513976263,-0.174429798252612,-0.5551466108909898,-0.062126673579145024,22.097054365737307,0.15179637418721356,0.4899656394425596,0.5176650254027919,-0.42531478514890786,-0.42531478514890786,22.24885073992452,16.3261197570476,7.245653278110628,8.655151693788063,1.0076306648453515,0.43253927058360175,7.857142857142858
2.0,9.285714285714285,46.42857142857142,2.5,6.60872745513916,0.16400527954101562,True,,69.31700888730089,113.64065387760661,0.40162171670404817,0.40619377557974273,28.934372700537363,-0.3053483489446994,-0.12508145726092162,0.22894763194786935,26.677898522166835,0.40571742612890455,0.5489523966992499,0.5313503712125089,-0.6246106700687484,-0.6246106700687484,27.08361594829574,10.909954640977505,2.615201353453006,7.670142617455751,1.0803027679117587,0.2267273436779207,9.285714285714285
2.0,10.714285714285715,53.57142857142858,2.5,6.031725645065308,0.1607351303100586,True,,97.65181211478193,131.98754354554978,0.24711520154112918,0.8148938203485135,77.98868070927807,-0.05021085276437572,0.23217664768733914,0.06810871725452079,32.77201450118954,0.46315448516697316,0.7300988974285397,0.5415949598482515,-0.3932972530064493,-0.3932972530064493,33.23516898635651,13.09632780145745,4.71100364130116,7.992026907149841,1.2716938572767913,0.3492316222489983,10.714285714285715
2.0,12.142857142857142,60.71428571428571,2.5,6.30745792388916,0.16306591033935547,True,,141.4870221946471,130.4160871374933,0.4347014046940101,0.32518000976244016,7.3519162149279484,-0.43408082619415295,-0.0017264845775909713,-0.02315527638682996,30.303963437293955,0.23605503949537276,0.480219987514749,0.4647362119136532,-0.8350461257800719,-0.8350461257800719,30.540018476789328,14.101448436399505,15.374817604634721,-2.1084152940152876,0.9449561994284021,1.0293457772592114,12.142857142857142
2.0,13.571428571428571,67.85714285714286,2.5,6.024774074554443,0.16260433197021484,True,,147.4064605607883,135.51966124730103,0.15330872000050272,0.273529229345348,0.5941275500012384,-0.0637388203701228,-0.09756602938479848,-0.09960821409955307,30.142770843672682,0.2508921752752441,0.82907105033632,0.4232363253464258,-0.5485079088397821,-0.5485079088397821,30.393663018947926,17.813925153237296,26.570847741473365,-9.30543049707585,1.2523073756827459,1.4470221702998975,13.571428571428571
2.0,15.0,75.0,2.5,5.945706605911255,0.16222286224365234,True,,131.26923111536323,134.61378284133696,0.4240083116215932,0.2724246098997762,67.06127528693426,-0.13302975963631705,-0.04598063310555316,-0.39996488940219527,33.90799428864272,0.5206847144134604,0.7566043841252276,0.3683549342195688,-0.4669121481858694,-0.4669121481858694,34.42867900305618,21.824858947266723,35.257501203308415,-13.899554404227562,1.1249593183447963,1.5816375043659392,15.0
2.0,16.42857142857143,82.14285714285715,2.5,8.241575002670288,0.16295528411865234,True,,142.18740524064881,110.97734835789768,0.0992198156827978,0.28676636643774367,5.41296118788694,-0.06328874697948948,-0.07515132069398657,0.013834208609245169,36.23486276215061,0.49458275297783566,1.2022134148884733,0.4702500801628405,-0.37220754936409556,-0.37220754936409556,36.72944551512845,28.06521302168738,49.43891990632322,-21.745914433999936,1.6724634950513138,1.7385163250935178,16.42857142857143
2.0,17.857142857142858,89.28571428571429,2.5,11.365856647491455,0.16932964324951172,True,,132.40388443190312,127.61685392045851,0.2838030930853558,0.25774390393513213,42.790417313736,-0.08945933572047639,-0.06706744695040809,0.2608508778149317,47.34802601313805,0.6214611540404621,0.9098620894946138,0.29206003124379587,-0.5027408048188307,-0.5027408048188307,47.969487167178514,26.068208845994427,46.539134113557665,-20.97366607238207,1.2019221207384096,1.7515043581490224,17.857142857142858
