active_curvature,anisotropy,torsion_drive,cobb_angle,max_curvature,s_lat,z_tip,end_to_end,u_cc,runtime_sec,peak_memory_mb,success,error
0.0,3.0,0.5,107.75662452463916,58.23866968480981,0.7538429113845522,-0.15355897574856026,0.45533367842364114,21.912498262238163,9.123759984970093,0.0,True,
1.0,3.0,0.5,24.322676237989167,48.59473635676326,0.650554110937078,0.1581323232869356,0.16721984760850875,21.025020284239034,6.5875842571258545,0.0,True,
2.0,3.0,0.5,72.46026735740901,54.54268578472509,1.5485123101819405,0.22637370804820736,0.48174520938260296,17.501620967327774,6.439109802246094,0.0,True,
3.0,3.0,0.5,63.45728207138336,66.11545161720078,0.36855975678287833,-0.26604964415314486,0.2917134695443678,14.267936092711183,6.730262279510498,0.0,True,
4.0,3.0,0.5,76.68603578447153,55.275986172506805,2.137513014208408,-0.019298774460785473,0.42282715811438015,14.080171656271824,6.339716672897339,0.0,True,
5.0,3.0,0.5,34.83360277056142,76.3288419859953,1.292475772305259,0.12098276651789919,0.3641292844227586,12.576723450068542,6.348325729370117,0.0,True,
6.0,3.0,0.5,8.515547513884883,92.70814424704852,0.3235684265945739,-0.16701900466419675,0.42240171784954333,9.081104672348374,9.002427577972412,0.0,True,
7.0,3.0,0.5,45.572118944435175,40.047255576515504,0.6040271484578746,-0.23252216586959787,0.41561692845735565,8.74688418328482,8.795759916305542,0.0,True,
8.0,3.0,0.5,9.308385790396315,130.66191494668138,0.7339572516423034,-0.15676139334024816,0.3023448388370179,5.544400048995763,6.34857439994812,0.0,True,
9.0,3.0,0.5,60.031477682637735,101.42644673327075,2.7919823689157983,-0.019063365868673094,0.5547323059829141,7.118290464767765,6.243094205856323,0.0,True,
10.0,3.0,0.5,59.14655432919723,97.4937906917391,0.3029096425563594,-0.2912397858631037,0.5173669112606162,7.2816086207369795,6.027144432067871,0.0,True,
11.0,3.0,0.5,61.43537112827598,101.92034121648733,0.3197798574950472,-0.20413533417709148,0.21229965846236504,-1.229698496095919,6.152488708496094,0.0,True,
12.0,3.0,0.5,10.496978980486327,144.31870169172,1.0248494371169197,-0.30893843268697413,0.5429175614386003,-2.928346114915829,5.963435888290405,0.0,True,
13.0,3.0,0.5,86.56332945650887,116.01354444173813,0.3524783974440237,-0.16634353288624865,0.22029860311390878,-1.0932469454455394,5.838632345199585,0.0,True,
14.0,3.0,0.5,93.59892310704285,131.36202198675264,0.9024580124998199,-0.32501295177388523,0.5402577482760657,-6.654012459522004,6.149369478225708,0.0,True,
15.0,3.0,0.5,101.03686946941217,133.22736591508033,0.5584853498040351,-0.12450909507358796,0.1418445499543951,-17.339203496453912,6.034036874771118,0.0,True,
