cluster,anisotropy,lateral_dev,sagittal_range,avg_torsion,sim_time
Control,1.0,0.020582725835153158,0.04818891658309251,3.2431975137765656,7.194505929946899
Cluster 0,2.84,0.020580603818744964,0.04803663834065149,2.733940059943817,6.7386980056762695
Cluster 2,11.05,0.020585214974789198,0.04797987068958313,2.4724397803823948,6.55630087852478
