stiffness_anisotropy,cobb_angle,s_lat,max_curvature,max_torsion
1.0,44.05040852872596,1.039368515176501,152.96480731067524,118.71528047297714
1.25,41.12463053873364,1.0544053016166945,147.41386836661346,125.71306587731463
1.5,0.7617880248013991,0.12677633017073847,130.8134639050871,116.94906225273823
1.75,62.86803775595095,0.9605395786872685,140.25358218848308,95.45510870154939
2.0,120.4989793035138,0.35621938224511757,146.2634053077334,103.35655205560022
2.25,19.824889473887115,0.3152314023118189,126.1281331708255,96.71724896757262
2.5,22.403953338397784,0.6888083405884727,137.8204014588135,94.78038224505902
2.75,4.645940693292608,1.0048296520951125,139.87876541751277,135.15482052561813
3.0,69.7605755625337,0.4217644560365517,47.43800111193605,94.18242759809509
3.25,10.142713054335191,0.22950980990600428,115.69518235941122,153.50666163070417
3.75,56.42888231475149,0.5020791337868756,124.19690509547108,121.14819544268722
4.0,11.130219005792835,0.778681736948095,148.5861088794635,151.9826098247235
4.25,48.874175529178956,0.33869909440369933,124.24940155332862,103.65513514598211
4.5,52.192209044278044,0.8004513246034116,99.40819812349967,128.568932307515
4.75,67.76531911513614,0.542935705661474,59.30895350703811,117.2556104697772
5.0,45.141627119056714,0.3481312618198612,44.30302332666854,127.07518668096533
