anisotropy,duration,n_elements,gravity,torsion_drive,active_curvature,show_progress,dt
0.5,1.0,30,9.81,0.1,0.5,False,0.0001
0.6578947368421053,1.0,30,9.81,0.1,0.5,False,0.0001
0.8157894736842105,1.0,30,9.81,0.1,0.5,False,0.0001
0.9736842105263157,1.0,30,9.81,0.1,0.5,False,0.0001
1.131578947368421,1.0,30,9.81,0.1,0.5,False,0.0001
1.2894736842105263,1.0,30,9.81,0.1,0.5,False,0.0001
1.4473684210526314,1.0,30,9.81,0.1,0.5,False,0.0001
1.6052631578947367,1.0,30,9.81,0.1,0.5,False,0.0001
1.763157894736842,1.0,30,9.81,0.1,0.5,False,0.0001
1.9210526315789473,1.0,30,9.81,0.1,0.5,False,0.0001
2.0789473684210527,1.0,30,9.81,0.1,0.5,False,0.0001
2.2368421052631575,1.0,30,9.81,0.1,0.5,False,0.0001
2.394736842105263,1.0,30,9.81,0.1,0.5,False,0.0001
2.552631578947368,1.0,30,9.81,0.1,0.5,False,0.0001
2.7105263157894735,1.0,30,9.81,0.1,0.5,False,0.0001
2.8684210526315788,1.0,30,9.81,0.1,0.5,False,0.0001
3.026315789473684,1.0,30,9.81,0.1,0.5,False,0.0001
3.1842105263157894,1.0,30,9.81,0.1,0.5,False,0.0001
3.3421052631578947,1.0,30,9.81,0.1,0.5,False,0.0001
3.5,1.0,30,9.81,0.1,0.5,False,0.0001
