max_curvature,max_torsion,S_lat,cobb_angle,bending_energy,shear_energy,U_gravity
52.96828240435615,58.893935482567024,0.143657960789793,3.41814684555193,3.4923791983176486,0.057902801208816225,-0.18894648034652683
37.80909499373362,66.15145552960354,0.16219386793612525,23.791476294245737,4.087350031033948,0.003511680104878368,0.2365788828362952
28.20347097420019,79.72696422126054,0.15451343897313255,37.5518848674076,4.599357467087184,0.0063605768753841555,0.49206098096607415
26.827838327449964,84.59238380625662,0.1183086507952331,30.78139596999432,4.89810492754404,0.005820318443057563,0.6573015414639115
26.414825131177718,86.21283214566924,0.09818455713367918,27.135942152020053,5.108745516535177,0.004022280624882944,0.7808247708186878
26.11090681576637,86.63816006843875,0.09827876437828344,24.914856330603072,5.267205509226906,0.002409627544486673,0.8787990816401177
25.964397746385234,86.62141413127716,0.09990552275610746,23.24960914589382,5.388758245218042,0.0013288524926674062,0.9591367543030295
25.96545550455856,86.41531275798202,0.1008557250354774,21.811367505582922,5.481921154716326,0.0007072275959495259,1.025839389347996
26.062950953480314,86.1251222578685,0.09924586417539491,20.487430177383796,5.553443857666933,0.000390763058558991,1.0818650484732064
26.20558552542434,85.8152365347131,0.09623792417218263,19.238999245873707,5.608544908869162,0.00025912530664248655,1.1292781075740972
26.351206738222128,85.48995577299887,0.09245757805978393,18.0758074801394,5.650879338056459,0.00023324602168722731,1.1695911104256682
26.483788573389724,85.1569462937611,0.08836796718955708,17.00061013428243,5.68318410680631,0.0002663961927420885,1.2037653802586121
26.86762433491561,84.79763071878136,0.0841570815118627,16.03326591142891,5.707577854940326,0.0003308245216753825,1.2328015486252744
27.389405282528227,84.43930572793319,0.07997624667973803,15.170192072892476,5.726178061459599,0.0004121653075146656,1.2576096862805737
27.755109432865453,84.07109257582765,0.07593187042816563,14.413504141006833,5.740153709129621,0.0005019172869367366,1.2787105724398151
27.990631334379543,83.68295982771721,0.07205171781127748,13.765909536564829,5.750452768287256,0.0005948695093293486,1.2966646509510276
28.122605344798178,83.2735355142502,0.06836041564764506,13.223253896102456,5.757861898924969,0.0006882664842923855,1.3119288949733308
28.17780258667612,82.8378544666621,0.06487978231474935,12.779717241412705,5.762929541516887,0.0007802803596668059,1.3248424651758297
28.168320068096616,82.39614162775426,0.06159104570529175,12.42513830641599,5.76638639163751,0.0008703451184338829,1.3358646900450695
28.11926537810597,81.92771032445346,0.058506327317881364,12.156659656484337,5.768334487716797,0.0009574942029529619,1.3451425194746849
