gravity,anisotropy,chi_kappa,cobb_angle,max_curvature,s_lat,u_cc,runtime_sec,peak_memory_mb,success,error
0.0,2.0,50.0,55.29857290046865,123.01650141423046,0.736302554868741,-19.092758481699022,14.469249486923218,15.523638725280762,True,
1.0,2.0,50.0,50.38950353339894,123.67105460664612,0.6020506862664377,-19.12069458526941,6.395262241363525,0.16545963287353516,True,
2.0,2.0,50.0,42.52158904646839,124.2509944700135,0.43401060913045275,-19.150623444996768,5.85649561882019,0.16291046142578125,True,
3.0,2.0,50.0,30.91417459154367,124.87011756645133,0.4629149515786603,-19.201594578413836,5.844285011291504,0.1631317138671875,True,
4.0,2.0,50.0,16.03720927405583,125.55242415290435,0.8562318989193497,-19.306136248436857,6.576264381408691,0.16628360748291016,True,
5.0,2.0,50.0,3.3023223212308896,126.93467711829605,0.8630967674317072,-19.455719461766822,7.008350849151611,0.16070556640625,True,
6.0,2.0,50.0,39.22909197387276,128.60771387435702,0.6035252904088434,-19.61156245280875,5.678210973739624,0.15969085693359375,True,
7.0,2.0,50.0,64.2636672638189,129.96395598931193,0.4460368605819003,-19.75266164386657,5.128657579421997,0.1602029800415039,True,
8.0,2.0,50.0,55.86979977662034,131.08638467897603,0.3464921211841937,-19.877427131970364,5.039401292800903,0.16083621978759766,True,
9.0,2.0,50.0,46.29551427586211,132.05788398617958,0.2811713927254969,-19.99018001684074,4.918544292449951,0.16082096099853516,True,
10.0,2.0,50.0,38.48387308817752,132.93707109932524,0.2345937305657391,-20.095183029911354,4.869807958602905,0.16031360626220703,True,
11.0,2.0,50.0,32.309280103238216,133.76438950932308,0.1993004666117182,-20.19559344527324,4.965041399002075,0.15990352630615234,True,
12.0,2.0,50.0,27.38466265188114,134.57358771018139,0.17118787141414807,-20.29391679821159,5.061420679092407,0.15926647186279297,True,
13.0,2.0,50.0,23.382844749666038,135.40582840005683,0.14761243119135775,-20.392896729443727,5.179079532623291,0.16250896453857422,True,
14.0,2.0,50.0,20.050345308659438,136.32815931600746,0.12615952352506904,-20.496740391665,5.23707914352417,0.17449092864990234,True,
15.0,2.0,50.0,17.162526771611326,137.4507534791408,0.10305843233465416,-20.61265472004102,4.844521522521973,0.16087913513183594,True,
16.0,2.0,50.0,14.421300592490335,138.87399727971308,0.06969653648057328,-20.750389361618062,4.858589172363281,0.1586141586303711,True,
17.0,2.0,50.0,11.391421704829396,140.20962047178247,0.1148240484149342,-20.90337907638108,4.952320098876953,0.15999889373779297,True,
18.0,2.0,50.0,8.591682267728162,140.69485467473126,0.1806367276374992,-20.98196867431497,4.984257698059082,0.16046524047851562,True,
19.0,2.0,50.0,8.83743872757615,138.9502202492966,0.20116661556503332,-20.859047294555353,4.919908046722412,0.15888118743896484,True,
20.0,2.0,50.0,21.317877020735395,134.02608053310152,0.10101099605782368,-20.553291394250152,5.041956663131714,0.15898418426513672,True,
