cycles_per_day,mean_chi_yearly,final_chi_day365,preservation_fraction
0,0.0,0.0,0.0
1,0.8333282131563723,0.8333282131563722,0.08333282131563721
5,3.7886751946274484,3.7886751946274484,0.37886751946274483
20,7.51980606509956,7.51980606509956,0.751980606509956
50,8.890505788893606,8.890505788893606,0.8890505788893606
