K_stiffness,G_gain,eig1_real,eig1_imag,eig2_real,eig2_imag,spectral_gap,sensitivity,is_ep
0.5,1.7626262626262625,0.5,-2.0265367851829943,0.5000000000000001,2.0265367851829943,4.053073570365989,0.7467263381579013,False
0.7525252525252526,1.7626262626262625,0.7525252525252526,-2.0265367851829943,0.7525252525252526,2.0265367851829943,4.053073570365989,0.7467263381534605,False
1.0050505050505052,1.7626262626262625,1.0050505050505052,-2.0265367851829943,1.0050505050505052,2.0265367851829943,4.053073570365989,0.7467263381534605,False
1.2575757575757576,1.7626262626262625,1.2575757575757576,2.0265367851829943,1.257575757575758,-2.0265367851829943,4.053073570365989,40530.73570587237,False
1.5101010101010102,1.7626262626262625,1.5101010101010102,2.0265367851829943,1.5101010101010106,-2.0265367851829943,4.053073570365989,40530.73570587238,False
1.7626262626262625,1.7626262626262625,1.7626262626262625,2.0265367851829943,1.762626262626263,-2.0265367851829943,4.053073570365989,40530.73570587237,False
2.015151515151515,1.7626262626262625,2.015151515151515,-2.0265367851829943,2.015151515151515,2.0265367851829943,4.053073570365989,0.7467263381556809,False
2.2676767676767677,1.7626262626262625,2.2676767676767677,-2.026536785182995,2.2676767676767677,2.0265367851829943,4.0530735703659895,0.7467263381601219,False
2.5202020202020203,1.7626262626262625,2.5202020202020203,-2.026536785182995,2.5202020202020203,2.0265367851829943,4.0530735703659895,0.7467263381601219,False
2.7727272727272725,1.7626262626262625,2.7727272727272725,-2.0265367851829943,2.7727272727272725,2.0265367851829943,4.053073570365989,0.7467263381601219,False
