chi_kappa,lateral_dev,sagittal_range,curvature_inflections,cobb_angle_deg
0.0,0.0,0.9290142748974655,1,0.0
5.0,0.0,0.4682505756646101,2,180.0
10.0,0.0,0.17157176524307088,2,180.0
15.0,0.0,0.25320758822419326,2,180.0
20.0,0.0,0.38826090433851185,2,180.0
25.0,0.0,1.0294955609632812,10,180.0
30.0,0.0,0.5517219106789774,12,180.0
