profile_name,anisotropy_index,curvature_summary,torsion_summary,PAE_domain_blockiness_score,input_anisotropy,input_curvature,input_torsion,input_blockiness,mapped_stiffness_anisotropy,mapped_chi_kappa,mapped_chi_tau,mapped_chi_E,runtime_sec,peak_memory_mb,success,error,max_curvature,max_torsion,end_to_end_distance,S_lat,cobb_angle,z_tip,x_tip,y_tip,bending_energy,shear_energy,translational_energy,rotational_energy,gravitational_energy
WildType_Control,2.0,0.1,0.0,0.5,2.0,0.1,0.0,0.5,2.0,0.5,0.0,0.25,7.262875556945801,14.575662612915039,True,,3.378805037677365,0.29159641339757203,0.4827298870174715,0.6061493326762366,40.02538643201749,0.4110612769293121,0.24916451869974424,0.04442761585173083,0.003375823425219753,0.0006827356705722864,0.0012962243533928398,5.258177779941609e-07,0.3409153460194716
Marfan_Like (Low Anisotropy),1.0,0.1,0.0,0.2,1.0,0.1,0.0,0.2,1.0,0.5,0.0,0.1,6.0225536823272705,0.1678457260131836,True,,2.3727399641700493,0.2284354101631612,0.49178740270368765,0.26158538743883786,24.43984509178879,0.47374624561981377,0.12392509520815383,0.04540831418165759,0.0023138910159080585,0.0006136196974665624,0.000525428205671031,1.927092837737528e-07,0.3728842199001893
Piezo_Gain (High Drive),2.0,2.0,0.0,0.5,2.0,2.0,0.0,0.5,2.0,10.0,0.0,0.25,5.886232852935791,0.16392135620117188,True,,33.04697737956585,2.164358165095364,0.2973339612411317,0.4731025742212173,13.647254929366401,0.2419613913004378,0.11447255708638439,0.1294534792943152,0.015797447744236238,0.000836040039510874,0.0007616907233448713,7.409787210049855e-07,0.18850488884642555
Scoliotic_Risk (Mismatch),1.1,2.0,0.5,0.3,1.1,2.0,0.5,0.3,1.1,10.0,2.5,0.15,5.877129793167114,0.16265201568603516,True,,33.08503868704794,8.008544178304817,0.29831890716356313,0.0937832020077453,2.2462891594742826,0.2700537792435994,0.016881848303368183,0.12561898696205892,0.01419285237507655,0.0008310996203998096,0.0008091605477869686,5.951786651328267e-07,0.20894622337720972
Microgravity (Unloaded),1.5,1.5,0.2,0.4,1.5,1.5,0.2,0.4,1.5,7.5,1.0,0.2,6.093466281890869,0.16564083099365234,True,,25.86153459096794,3.464068854902071,0.34927854024245664,0.3976082508153358,13.151399106263177,0.26723714760518713,0.10625569481217816,0.1982158745754892,0.019921350685777207,0.0009178516153491189,0.0015186071586787515,9.756963446458202e-07,0.20387540730544954
