max_curvature,max_torsion,end_to_end_distance,S_lat,cobb_angle,z_tip,x_tip,y_tip,tilt_deg,chi_kappa,anisotropy,chi_tau
38.80949686658332,7.2083338485263635,0.4826782473019399,0.21628080780116182,20.624982268941732,-0.43201528569126785,0.005284829452443324,0.21520491148025284,5.0,10.0,0.1,1.0
19.197422426252935,6.520070500715824,0.4696653804735179,0.21238390504075402,24.043239482468145,-0.4303004899867959,0.030187383105859375,0.18578422923832313,5.0,10.0,0.5,1.0
19.154876925308553,6.837855406322229,0.47359905653430867,0.22471896736153002,75.89490462121636,-0.43451761382379644,0.02803332780310449,0.18629181989380278,5.0,10.0,1.0,1.0
19.153343612892964,6.968511161724834,0.47467533408823603,0.2363740400794936,79.67801560098093,-0.4353609281805205,0.019925501966521243,0.1880970743444892,5.0,10.0,1.5,1.0
19.14807066330691,7.036645806358383,0.47486985779190677,0.2445466254284519,80.49863735339342,-0.43527491570351756,0.013830939385574509,0.18932996253713782,5.0,10.0,2.0,1.0
19.1418807658563,7.076881096760672,0.474753862709699,0.25062084739307255,80.69545474927205,-0.43488861491605396,0.009249005944835369,0.19020404481295405,5.0,10.0,2.5,1.0
19.13579288305134,7.1025388073831275,0.47452699017827993,0.2551944004812748,80.70792888300808,-0.43441407244729396,0.00569279314120611,0.19086086600889676,5.0,10.0,3.0,1.0
19.12480721839204,7.1413054296144,0.47401102482099133,0.2616079349461237,80.59055390240022,-0.4334635605493104,0.00047609857224772137,0.19182170538786866,5.0,10.0,4.0,1.0
19.10750218755055,7.175233154123003,0.473149580311528,0.26924129493464993,80.32604014523055,-0.4319010116843559,-0.006112155151841631,0.19311831351377523,5.0,10.0,6.0,1.0
19.094682067096475,7.185080141705433,0.472551967228942,0.2743731683651262,80.14154356088575,-0.43075076391179007,-0.010325544242291889,0.1940425836187841,5.0,10.0,8.0,1.0
19.08481517836619,7.186227831389986,0.4721278177494281,0.27794743779271686,80.01695585381555,-0.4298777782993937,-0.013356756250944632,0.19475977274495715,5.0,10.0,10.0,1.0
