initial_lateral_defect,anisotropy,active_curvature,cobb_angle,max_curvature,s_lat,u_cc,runtime_sec,peak_memory_mb,success,error
0.0,3.0,10.0,0.0,139.58637654508547,0.0,-20.5379735320787,8.764870643615723,0.0,True,
0.007894736842105263,3.0,10.0,0.7204877154377922,139.58557880183025,0.02005897568785739,-20.537922303267525,10.184827089309692,0.0,True,
0.015789473684210527,3.0,10.0,1.4411748270311917,139.58318537249502,0.040114757265994214,-20.537768677421617,7.421717166900635,0.0,True,
0.02368421052631579,3.0,10.0,2.1622597880050405,139.5791956542421,0.06016415083342954,-20.537512835574464,5.581689834594727,0.0,True,
0.031578947368421054,3.0,10.0,2.883939170815302,139.5736086265779,0.08020396295340272,-20.537155076935036,5.450187921524048,0.0,True,
0.039473684210526314,3.0,10.0,3.6064067403038496,139.56642282808443,0.10023100092643686,-20.536695815173633,5.635683059692383,0.0,True,
0.04736842105263158,3.0,10.0,4.3298525426847325,139.5576363248704,0.12024207312098484,-20.536135573304325,5.4319727420806885,0.0,True,
0.05526315789473685,3.0,10.0,5.054462015169224,139.54724667141352,0.14023398937326437,-20.535474977257415,5.4028449058532715,0.0,True,
0.06315789473684211,3.0,10.0,5.780415120419874,139.53525086501674,0.1602035614675895,-20.534714748246113,5.3891987800598145,0.0,True,
0.07105263157894737,3.0,10.0,6.507885509711778,139.52164529505066,0.18014760370597802,-20.533855694057827,5.3802103996276855,0.0,True,
0.07894736842105263,3.0,10.0,7.2370397179414825,139.5064256882986,0.20006293357070448,-20.532898699414588,5.403144121170044,0.0,True,
0.0868421052631579,3.0,10.0,7.968036393028389,139.48958705238115,0.2199463724790975,-20.531844715561093,5.404118061065674,0.0,True,
0.09473684210526316,3.0,10.0,8.701025561722783,139.47112361822937,0.2397947466252527,-20.530694749251847,5.44214129447937,0.0,True,
0.10263157894736842,3.0,10.0,9.43614793305932,139.45102878392368,0.2596048878950453,-20.52944985131551,5.4240968227386475,0.0,True,
0.1105263157894737,3.0,10.0,10.173534240219531,139.42929506116198,0.2793736348370895,-20.52811110497776,5.447537422180176,0.0,True,
0.11842105263157895,3.0,10.0,10.913304621041402,139.405914026253,0.29909783366417975,-20.52667961412689,5.704320907592773,0.0,True,
0.12631578947368421,3.0,10.0,11.655568036846777,139.38087627704266,0.3187743392521158,-20.525156491698947,5.868724346160889,0.0,True,
0.13421052631578947,3.0,10.0,12.400421729104336,139.35417139742233,0.3384000160952971,-20.523542848358233,5.423489570617676,0.0,True,
0.14210526315789473,3.0,10.0,13.147950712913813,139.32578793071846,0.35797173917261493,-20.52183978163383,5.627379417419434,0.0,True,
0.15,3.0,10.0,13.898227306485229,139.29571336293708,0.3774863946668753,-20.52004836565766,5.417963743209839,0.0,True,
