anisotropy,active_curvature,gravity,initial_lateral_defect,cobb_angle,max_curvature,s_lat,u_cc,runtime_sec
1.0,14.0,9.81,0.05,68.92183791189521,149.06541368829207,0.24998981135023773,-36.348764169618356,8.589154958724976
1.2105263157894737,14.0,9.81,0.05,17.219229869476607,140.9518400732789,0.3253894101834787,-36.52070103379213,6.2000343799591064
1.4210526315789473,14.0,9.81,0.05,15.825701210924521,152.9651644191207,0.3497770459264654,-33.9821623792202,6.23173975944519
1.631578947368421,14.0,9.81,0.05,51.34770743889176,117.85437448881999,0.8151753631100884,-33.084780552401206,6.193212270736694
1.8421052631578947,14.0,9.81,0.05,1.4737825192443932,153.37348661441473,1.0426928888103968,-35.46953272333293,6.1532065868377686
2.052631578947368,14.0,9.81,0.05,48.840045653861004,150.4360762017842,0.6889612451606315,-35.77867423565656,6.148819446563721
2.263157894736842,14.0,9.81,0.05,19.392541003154182,146.0146879103341,0.6265728917022857,-35.75806610538811,6.07632851600647
2.473684210526316,14.0,9.81,0.05,5.425751814130505,147.96846125611893,0.7878020368182022,-35.9709851131194,6.057647705078125
2.6842105263157894,14.0,9.81,0.05,2.417641304363517,144.37779989906232,0.9166135049013967,-34.61329148229485,6.144056558609009
2.894736842105263,14.0,9.81,0.05,0.5478707779548754,144.18883832493546,0.9762891012967955,-34.36706045103386,6.19646954536438
3.1052631578947367,14.0,9.81,0.05,0.34880028881633424,143.64055196310696,0.983512829581272,-34.120556615830644,6.143613815307617
3.3157894736842106,14.0,9.81,0.05,1.9877484273200257,142.6859630958437,0.912506698727287,-33.871476401765406,6.161282300949097
3.526315789473684,14.0,9.81,0.05,7.460153312055261,141.0158973839588,0.7207158817407717,-33.661719455519304,6.117928504943848
3.7368421052631575,14.0,9.81,0.05,19.764903338205833,137.99760174675012,0.3620019482168886,-33.60486138026997,6.225020170211792
3.9473684210526314,14.0,9.81,0.05,37.14472789934555,141.7665817627069,0.30644778324862126,-33.79262277340772,6.5746400356292725
4.157894736842105,14.0,9.81,0.05,31.498320932006873,130.27219840293608,0.16163038422853881,-31.690350537366296,6.489771366119385
4.368421052631579,14.0,9.81,0.05,59.01846180474049,152.62222930106614,0.139566491955533,-36.198436831914165,6.192485809326172
4.578947368421052,14.0,9.81,0.05,44.67927601836276,150.38406672388479,0.7242930595412745,-34.468698843821215,6.2103431224823
4.789473684210526,14.0,9.81,0.05,92.01964350601591,149.381015638207,0.6187715978260273,-35.66621207134386,6.134649991989136
5.0,14.0,9.81,0.05,68.93590536839645,147.2893056514482,0.5413670370354716,-35.668090117879416,9.629554510116577
