anisotropy,S_lat,cobb_angle,max_curvature,z_tip
1.0,0.3148644130232803,34.59595414499524,153.3087265022109,-0.07250904842235815
1.5,0.5496480827396711,40.46660607165095,145.75126335280285,0.014880277705604667
2.0,0.49985064540063645,46.312700845478226,145.05527884310578,0.12861888405546223
2.5,0.4971811166274321,15.919573026282864,144.4974669724353,-0.15746544707203533
3.0,0.5693369136925208,2.7537238353807294,144.4252202440919,-0.014247167973145842
3.5,1.2647388557346644,106.42315656364727,136.55331012656606,-0.18691356410567206
4.0,0.9948528016454192,88.65320822925652,151.74042085443676,-0.2147773981542906
4.5,0.731675906536891,85.30737390381285,132.51599596410742,-0.153586940927761
5.0,0.8200421461354336,69.48915147283627,133.31240502363093,0.04397561094066397
5.5,1.0536984469662904,90.2791888110142,143.2650786890231,-0.027473117590012572
6.0,1.215538638600446,99.59803149420449,135.50854081502362,-0.011248998809693858
6.5,1.3209967093495913,98.02532938915984,132.3050300009179,-0.002790683919153098
7.0,1.406223095473422,96.05181656925038,131.58976385831875,0.0008824671997561126
7.5,1.2139114867668261,103.69061782046697,142.57788550175871,-0.10807840413684441
8.0,1.1968814276229016,105.97077181108475,147.9151787256183,-0.12685905693549365
8.5,1.6141448658320998,127.38010180519045,143.0991145058466,-0.08554639259350869
9.0,0.6903435250577306,110.23354522509555,142.95748440832213,-0.1113830865202519
9.5,0.8892633477754468,106.44413157244301,121.6854856465952,-0.07407439848884993
10.0,0.4181395395709005,91.52626898216262,155.38034349718018,-0.07820388236902315
