natural_kyphosis,anisotropy,active_curvature,initial_lateral_defect,cobb_angle,s_lat,u_cc,runtime_sec
-2.0,3.0,10.0,0.05,5.106810280137826,0.06699948824526106,-20.560970914395885,11.091235160827637
-1.6,3.0,10.0,0.05,1.7870778515674517,0.03212193581978289,-20.561203888597635,6.537996768951416
-1.2,3.0,10.0,0.05,0.7212431585636058,0.010663349282662563,-20.560320877098007,12.964602708816528
-0.7999999999999998,3.0,10.0,0.05,2.5654106435499933,0.024539147040934066,-20.558675037091817,18.35790991783142
-0.3999999999999999,3.0,10.0,0.05,3.8712496873670834,0.04539969385008468,-20.556498832207346,13.192903280258179
0.0,3.0,10.0,0.05,4.73972569263403,0.06300575076733589,-20.553935877422663,15.255607604980469
0.40000000000000036,3.0,10.0,0.05,5.248325662064574,0.07814224394383096,-20.551061462322302,9.906280040740967
0.8000000000000003,3.0,10.0,0.05,5.453944123021834,0.09150572239129821,-20.547893473097698,6.573442697525024
1.2000000000000002,3.0,10.0,0.05,5.395821907743824,0.10371931562951665,-20.544394533098345,7.61968469619751
1.6,3.0,10.0,0.05,5.098010477414602,0.11534731361589287,-20.54046514548359,6.4199059009552
2.0,3.0,10.0,0.05,4.571250728983178,0.1269083311310394,-20.53592649135203,6.345041990280151
2.4000000000000004,3.0,10.0,0.05,3.8143342891238703,0.1388861414015741,-20.53049035347977,6.346951723098755
2.8000000000000007,3.0,10.0,0.05,2.8151034552471756,0.1517370062052409,-20.523712584463226,6.336564779281616
3.2,3.0,10.0,0.05,1.5513201383695518,0.16589167471084867,-20.514926191123696,6.196308374404907
3.6000000000000005,3.0,10.0,0.05,0.008259786462714908,0.18174909529626726,-20.503151845873603,6.221681833267212
4.0,3.0,10.0,0.05,1.9020985977716223,0.1996571989869889,-20.486990229845535,6.176390886306763
4.4,3.0,10.0,0.05,4.1726070940057465,0.21987388837038901,-20.46451647805169,6.206312894821167
4.800000000000001,3.0,10.0,0.05,6.860294571369373,0.24249893698084607,-20.433226400492565,7.338688850402832
5.2,3.0,10.0,0.05,9.993990673264394,0.2673658368261964,-20.390123748858574,6.458375692367554
5.6000000000000005,3.0,10.0,0.05,13.576086428816438,0.293883764996178,-20.332061245291516,6.208816289901733
6.0,3.0,10.0,0.05,17.563442712856638,0.3208281362399312,-20.25639584975336,6.5282487869262695
