chi_kappa,chi_E,countercurvature_energy,metric_deviation,D_geo,D_geo_norm,epsilon_asym,max_lateral_deviation,tip_lateral_deviation,apex_position,lordosis_angle,kyphosis_angle,n_inflection_points
0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3214746138842849,0.3214746138842849,0.4,49.30025094945334,0.0,1
0.025,0.1,0.0002744408237645099,0.1214132158632825,0.16624834632172739,0.07104573672857148,0.0,0.3200181434604146,0.3200181434604146,0.4,49.57679767392412,0.0,1
0.05,0.1,0.0010977091310998813,0.24282643172656498,0.33249669264345466,0.1420914734571429,0.0,0.3185319913165282,0.3185319913165282,0.4,50.221163875376845,0.0,1
