natural_kyphosis,active_curvature,anisotropy,seed
0.0,10.0,3.0,42
0.2631578947368421,10.0,3.0,42
0.5263157894736842,10.0,3.0,42
0.7894736842105263,10.0,3.0,42
1.0526315789473684,10.0,3.0,42
1.3157894736842104,10.0,3.0,42
1.5789473684210527,10.0,3.0,42
1.8421052631578947,10.0,3.0,42
2.1052631578947367,10.0,3.0,42
2.3684210526315788,10.0,3.0,42
2.631578947368421,10.0,3.0,42
2.894736842105263,10.0,3.0,42
3.1578947368421053,10.0,3.0,42
3.4210526315789473,10.0,3.0,42
3.6842105263157894,10.0,3.0,42
3.9473684210526314,10.0,3.0,42
4.2105263157894735,10.0,3.0,42
4.473684210526316,10.0,3.0,42
4.7368421052631575,10.0,3.0,42
5.0,10.0,3.0,42
