seed,anisotropy,active_curvature,torsion_drive,stiffness_modulation,initial_lateral_defect,natural_kyphosis,length,n_elements,duration,max_curvature,max_torsion,end_to_end_distance,S_lat,cobb_angle,z_tip,x_tip,y_tip,U_CC,info_gain_ratio
42,3.0,10.0,0.0,0.0,0.0,0.0,0.4,50,2.0,155.20520611317139,0.0,0.11559430359949752,0.0,0.0,0.053775558241257536,0.0,-0.10232415335830501,-8.324766103350482,1.959549146837577
42,3.0,10.0,0.0,0.0,0.0,0.2631578947368421,0.4,50,2.0,155.09873452692042,0.0,0.11836884475015666,0.0,0.0,0.056441028463848714,0.0,-0.10404611339896223,-8.326259888473881,1.9602258881443617
42,3.0,10.0,0.0,0.0,0.0,0.5263157894736842,0.4,50,2.0,154.9915859267033,0.0,0.12112947111816448,0.0,0.0,0.05920788085057708,0.0,-0.10567296541003339,-8.327696813537733,1.9608971018400365
42,3.0,10.0,0.0,0.0,0.0,0.7894736842105263,0.4,50,2.0,154.8837381503328,0.0,0.12387463255684715,0.0,0.0,0.06207325656527153,0.0,-0.10719997859363531,-8.329077102932363,1.9615629790553286
42,3.0,10.0,0.0,0.0,0.0,1.0526315789473684,0.4,50,2.0,154.77516912545772,0.0,0.12660281491818942,0.0,0.0,0.06503409530929632,0.0,-0.10862246173103743,-8.330400980725619,1.9622237113097332
42,3.0,10.0,0.0,0.0,0.0,1.3157894736842104,0.4,50,2.0,154.6658568875957,0.0,0.1293125325557973,0.0,0.0,0.06808713158853914,0.0,-0.10993577028446698,-8.331668670967323,1.962879490443839
42,3.0,10.0,0.0,0.0,0.0,1.5789473684210527,0.4,50,2.0,154.55577959783352,0.0,0.13200232169576712,0.0,0.0,0.07122889107174293,0.0,-0.11113531396348585,-8.332880397999844,1.963530508541792
42,3.0,10.0,0.0,0.0,0.0,1.8421052631578947,0.4,50,2.0,154.4449155605955,0.0,0.1346707345609307,0.0,0.0,0.0744556870651764,0.0,-0.11221656477915004,-8.334036386773157,1.9641769578429422
42,3.0,10.0,0.0,0.0,0.0,2.1052631578947367,0.4,50,2.0,154.3332432425992,0.0,0.13731633415684774,0.0,0.0,0.0777636171301405,0.0,-0.11317506561567343,-8.335136863162308,1.9648190306415798
42,3.0,10.0,0.0,0.0,0.0,2.3684210526315788,0.4,50,2.0,154.22074129430663,0.0,0.13993768964614467,0.0,0.0,0.08114855987748584,0.0,-0.11400643935019986,-8.33618205428506,1.965456919173622
42,3.0,10.0,0.0,0.0,0.0,2.631578947368421,0.4,50,2.0,154.10738857475076,0.0,0.1425333722498952,0.0,0.0,0.08460617198478267,0.0,-0.11470639854432084,-8.33717218881747,1.9660908154891323
42,3.0,10.0,0.0,0.0,0.0,2.894736842105263,0.4,50,2.0,153.99316417982197,0.0,0.145101951620511,0.0,0.0,0.08813188549199397,0.0,-0.11527075571760248,-8.338107497304646,1.9667209113093866
42,3.0,10.0,0.0,0.0,0.0,3.1578947368421053,0.4,50,2.0,153.87804747313808,0.0,0.1476419926342067,0.0,0.0,0.0917209054359337,0.0,-0.11569543420123221,-8.33898821246376,1.9673473978673286
42,3.0,10.0,0.0,0.0,0.0,3.4210526315789473,0.4,50,2.0,153.76201811813095,0.0,0.15015205255441166,0.0,0.0,0.09536820788091004,0.0,-0.11597647956325596,-8.3398145694764,1.9679704657300003
42,3.0,10.0,0.0,0.0,0.0,3.6842105263157894,0.4,50,2.0,153.64505611013112,0.0,0.15263067852705464,0.0,0.0,0.09906853839761275,0.0,-0.1161100716018633,-8.340586806266545,1.9685903046016662
42,3.0,10.0,0.0,0.0,0.0,3.9473684210526314,0.4,50,2.0,153.52714180803778,0.0,0.15507640538140594,0.0,0.0,0.10281641103825097,0.0,-0.11609253691444414,-8.341305163760758,1.9692071031062264
42,3.0,10.0,0.0,0.0,0.0,4.2105263157894735,0.4,50,2.0,153.40825596627542,0.0,0.15748775372605706,0.0,0.0,0.10660610786059785,0.0,-0.11592036206160578,-8.341969886126217,1.9698210485474357
42,3.0,10.0,0.0,0.0,0.0,4.473684210526316,0.4,50,2.0,153.2883797685202,0.0,0.15986322833945601,0.0,0.0,0.11043167906358979,0.0,-0.11559020734607822,-8.342581220982673,1.9704323266455326
42,3.0,10.0,0.0,0.0,0.0,4.7368421052631575,0.4,50,2.0,153.1674948648718,0.0,0.1622013168574998,0.0,0.0,0.11428694381148169,0.0,-0.11509892121361641,-8.34313941958348,1.9710411212487615
42,3.0,10.0,0.0,0.0,0.0,5.0,0.4,50,2.0,153.04558341335328,0.0,0.16450048875354942,0.0,0.0,0.11816549183315563,0.0,-0.11444355525753766,-8.343644736961101,1.971647614018347
