anisotropy,active_curvature,initial_lateral_defect,cobb_angle,max_torsion,s_lat,runtime_sec
1.0,10.0,0.05,87.06774851975743,20.178712706932693,0.8490105704520433,7.626161098480225
1.6428571428571428,10.0,0.05,68.47563356750257,31.983327643985138,0.522678554093498,5.455773830413818
2.2857142857142856,10.0,0.05,17.499323658371544,20.60875080752181,0.19471243515431164,5.493118762969971
2.928571428571429,10.0,0.05,3.711339410640964,3.678477614543771,0.12968483783773332,5.540319204330444
3.5714285714285716,10.0,0.05,7.753047133304308,1.2468648515649767,0.10835415531858003,5.535445690155029
4.214285714285714,10.0,0.05,8.188338592410988,1.735602803626714,0.09343535983919118,6.515591382980347
4.857142857142858,10.0,0.05,7.833964889311393,1.8523434938635557,0.08258451238513126,7.398340702056885
5.5,10.0,0.05,7.341301643274284,1.7621698685543479,0.07447590487326652,6.589334011077881
6.142857142857143,10.0,0.05,6.87341532867329,1.5993610319921188,0.06827236433228077,5.925209999084473
6.7857142857142865,10.0,0.05,6.4662756859250345,1.4272529006328492,0.06342103953534618,6.139918804168701
7.428571428571429,10.0,0.05,6.120831097645417,1.266644964453587,0.05955013877627937,5.878751516342163
8.071428571428573,10.0,0.05,5.829124763180074,1.1232295750160857,0.05640508765712337,6.467819690704346
8.714285714285715,10.0,0.05,5.582024199439186,1.0533358471833545,0.05380810981340663,5.566116809844971
9.357142857142858,10.0,0.05,5.371389214011427,1.037764229990827,0.05163255065091379,6.056331396102905
10.0,10.0,0.05,5.190499948039937,1.023081609739076,0.049786417005837295,5.862340688705444
