chi_kappa,chi_E,s,x,z,kappa,theta,I,dIds
0.0,0.1,0.0,0.0,0.0,3.41127075836582,0.0,0.23514954689872597,2.8343738760994874
0.0,0.1,0.005084745762711864,0.005084745762711864,0.0,3.356613044550504,0.017206484244702516,0.2529303475798604,4.159407725146721
0.0,0.1,0.010169491525423728,0.0101687388411974,8.74862807953883e-05,3.3040836274739456,0.03414045883459518,0.27744860851038755,5.623154204483651
0.0,0.1,0.015254237288135592,0.01525052157580536,0.0002610481131684875,3.253408961995629,0.05081205016375512,0.3101149666085077,7.343259470643506
0.0,0.1,0.020338983050847456,0.020328704688548624,0.0005193033064665145,3.204062328665221,0.06722935005526576,0.35212582346608423,9.252973560697779
0.0,0.1,0.02542372881355932,0.025401963798565002,0.0008608900071035176,3.155263796053082,0.08339712833844788,0.4042130028189935,11.234154751613254
0.0,0.1,0.030508474576271184,0.030469037398089892,0.0012844518189021323,3.1060203211097166,0.09931564728038719,0.4663714650079139,13.117414490225961
0.0,0.1,0.035593220338983045,0.03552872682288705,0.001788616867286146,3.0552066735748005,0.11497978370755121,0.5376104383128169,14.692243703969652
0.0,0.1,0.04067796610169491,0.04057989853744888,0.0023719724890356717,3.0016798890032534,0.13037864784969883,0.6157841128448933,15.728183786635256
0.0,0.1,0.04576271186440678,0.045621488725301855,0.0030330381810519075,2.9444129353754693,0.1454958329964244,0.6975580700413111,16.005655312823862
0.0,0.1,0.05084745762711864,0.05065250977678875,0.003770240087527942,2.882628527898264,0.16031034519118811,0.778553488907509,15.352274001642499
0.0,0.1,0.0559322033898305,0.05567205787269633,0.004581890495207783,2.8159120363331436,0.17479816018499678,0.8536828903969975,13.678130400316121
0.0,0.1,0.06101694915254237,0.06067932055473245,0.0054661754631365024,2.744283334688794,0.18893425011132375,0.9176531200971643,11.002403853948962
0.0,0.1,0.06610169491525424,0.06567358303134654,0.006421152837790331,2.668211586015953,0.20269483041820024,0.965571743149021,7.464410730352498
0.0,0.1,0.07118644067796609,0.0706542320465642,0.007444761580732462,2.588564802246009,0.2160595161510696,0.9935623817617658,3.314855478180746
0.0,0.1,0.07627118644067796,0.0756207564576087,0.008534841736462025,2.5064973411567935,0.22901306397328014,0.9992821378423844,-1.1128394488618625
0.0,0.1,0.08135593220338982,0.08057274418644166,0.00968916275113001,2.4232915240128134,0.2415464254948978,0.9822453704174079,-5.446719478963374
0.0,0.1,0.08644067796610169,0.0855098758346762,0.010905456531191831,2.340180943259908,0.25365694871677763,0.943891770259706,-9.327887478176606
0.0,0.1,0.09152542372881356,0.09043191584168044,0.012181450904559566,2.2581889579777297,0.26534771965212756,0.8873854977579847,-12.459572761053153
0.0,0.1,0.09661016949152541,0.09533870247662649,0.01351489921271813,2.178013671240588,0.27662620091285206,0.8171842506557758,-14.644375089245429
0.0,0.1,0.10169491525423728,0.10023013808017998,0.014903602639553924,2.0999801650883216,0.2875024564289425,0.7384596493927771,-15.803246221273369
0.0,0.1,0.10677966101694915,0.10510618077992334,0.016345423384894968,2.024064636707957,0.2979873160945263,0.6564732721343516,-15.974044064243955
0.0,0.1,0.111864406779661,0.10996683845367124,0.01783828856636709,1.9499781392857913,0.3080908146775612,0.5760117436547031,-15.291962712402722
0.0,0.1,0.11694915254237287,0.11481216513527008,0.01938018636453745,1.8772850754038084,0.31782114488439916,0.5009617869234766,-13.957628720376732
0.0,0.1,0.12203389830508474,0.11964225950457251,0.0209691570549686,1.8055269890504444,0.32718422640419814,0.434069756667821,-12.200375978766836
0.0,0.1,0.1271186440677966,0.1244572647100391,0.022603282002072102,1.7343260967856469,0.3361838528936119,0.376890166800424,-10.243972340545724
0.0,0.1,0.13220338983050847,0.1292573686096564,0.024280673436500904,1.6634528580463297,0.34482227396521864,0.3298937667639661,-8.280240865996173
0.0,0.1,0.13728813559322034,0.134042803579646,0.025999467088867776,1.592853480145695,0.35310101889282547,0.2926843274852086,-6.4533330022935935
0.0,0.1,0.14237288135593218,0.13881384526772675,0.02775781878349879,1.5226426688577555,0.3610217718140206,0.2642666514864042,-4.854688853937482
0.0,0.1,0.14745762711864405,0.1435708099693124,0.029553905167636355,1.453072066031982,0.3685871482586556,0.24331461032652252,-3.526609119507974
0.0,0.1,0.15254237288135591,0.14831405059929373,0.03138592803799323,1.3844856727248782,0.37580127810295266,0.22840282993208583,-2.4711985225802984
0.0,0.1,0.15762711864406778,0.15304395146576072,0.03325212129294063,1.317271544187899,0.38267015238323937,0.21818377789350252,-1.6612338732376912
0.0,0.1,0.16271186440677965,0.1577609222048631,0.03515075936215454,1.2518159124030803,0.38920173066270797,0.21150892613644828,-1.0500508930654675
0.0,0.1,0.16779661016949152,0.16246539131276597,0.0370801659766876,1.1884629944116016,0.39540582957833853,0.20750529423520964,-0.5785457396930305
0.0,0.1,0.17288135593220338,0.167157799728773,0.03903872226354854,1.1274817921862532,0.40129382479850256,0.20562541013957,-0.1786110233213165
0.0,0.1,0.17796610169491525,0.17183859490224038,0.04102487331909817,1.0690403660641474,0.4068782031669358,0.20568891094719624,0.2263687394054763
0.0,0.1,0.18305084745762712,0.17650822572859626,0.043037132600841715,1.0131882326933366,0.41217200468920057,0.20792746511657484,0.722041079605436
0.0,0.1,0.18813559322033896,0.18116713867196257,0.045074083669853854,0.9598483712215791,0.4171881994449164,0.2130317015872515,1.401584119933652
0.0,0.1,0.19322033898305083,0.1858157753007594,0.04713437902849174,0.9088213022642522,0.42193905454699904,0.2221808629464086,2.358548448336613
