chi_kappa,gravity,D_geo,D_geo_norm,base_energy,passive_energy,S_lat_asym,cobb_asym_deg,lat_dev_max_asym,S_lat_sym,cobb_sym_deg,scoliosis_regime
0.0,9.81,0.09754135891808612,0.07208225308368028,1.8311372481009147,0.9021759443617844,3.491003817086522,19.86156202108432,0.2860150354279503,3.4906438213723145,19.865405962464735,True
0.0,1.0,0.09744091594733416,0.07208294884105909,1.8273326957948897,0.9003900184058304,3.4946625854224815,19.84539670304258,0.2860416922865978,3.4943020986648246,19.849238528686087,True
0.0,0.01,0.09742962907000065,0.07208302704619172,1.8269054251765042,0.9001894477521528,3.4950741715657565,19.84358016914126,0.28604468622888085,3.4947136295482952,19.84742175703455,True
0.02,9.81,0.1094626312398325,0.08089197419180258,1.8311372481009147,0.9021759443617844,3.427912521967195,19.88463517103283,0.2856344587785354,3.4280784987260002,19.888428227932724,True
0.02,1.0,0.10944405707468015,0.0809623995256374,1.8273326957948897,0.9003900184058304,3.4314503258015296,19.86846825233271,0.2856614839268954,3.4316168140014365,19.872259193661392,True
0.02,0.01,0.10944197553379098,0.08097032655972583,1.8269054251765042,0.9001894477521528,3.4318482965352493,19.866651538400326,0.2856645192570882,3.4320148423113923,19.87044224199739,True
0.04,9.81,0.2205793951717005,0.16300633868720368,1.8311372481009147,0.9021759443617844,3.3668847136159243,19.907995020057793,0.2852418638351046,3.367542916290683,19.911736568153692,True
0.04,1.0,0.22060535386812632,0.16319514530769288,1.8273326957948897,0.9003900184058304,3.370307612551358,19.891826782879402,0.28526925636914313,3.37096723065457,19.89556621494001,True
0.04,0.01,0.22060827363171323,0.16321638814187825,1.8269054251765042,0.9001894477521528,3.3706926502868577,19.89000992065657,0.2852723329857103,3.371352427710087,19.893749114933463,True
0.06,9.81,0.34573678211709524,0.25549660682737063,1.8311372481009147,0.9021759443617844,3.3078184603589125,19.931667008476097,0.2848372808249401,3.3089376177503205,19.93535645305765,True
0.06,1.0,0.34577578527074676,0.25579129668300465,1.8273326957948897,0.9003900184058304,3.3111321172633095,19.915497790872962,0.28486503981133027,3.3122535051232296,19.919185118373264,True
0.06,0.01,0.34578016973041675,0.25582445057659536,1.8269054251765042,0.9001894477521528,3.3115048597096144,19.91368081839012,0.2848681576094447,3.3126264986170897,19.917367907988876,True
0.08,9.81,0.4739388425114146,0.3502368633266996,1.8311372481009147,0.9021759443617844,3.2506184306538612,19.95566984877555,0.28442074126016703,3.2521695355810616,19.959306623407098,True
0.08,1.0,0.4739836665982563,0.3506344337872006,1.8273326957948897,0.9003900184058304,3.2538281435785126,19.939500023863626,0.2844488657363713,3.255382213604437,19.943134679830187,True
0.08,0.01,0.47398870467642135,0.3506791614102533,1.8269054251765042,0.9001894477521528,3.254189187340604,19.937682983096426,0.2844520246079233,3.2557435910872696,19.941317400983365,True
