torsion_drive,anisotropy,active_curvature,cobb_angle,max_curvature,S_lat,U_CC,success,error
0.0,3.0,15.0,0.0,78.5246767665561,0.0,-8.387493556489993,True,
0.10526315789473684,3.0,15.0,40.73570564534529,89.6651838758047,0.560826421875165,-26.979499509199382,True,
0.21052631578947367,3.0,15.0,46.371696571041035,85.32763787300414,1.1551149811334431,-17.599005319555545,True,
0.3157894736842105,3.0,15.0,44.51958416172698,82.10746149697987,0.7588876907707431,-10.135394272505192,True,
0.42105263157894735,3.0,15.0,92.73774105643737,66.34664287261926,0.29997534179053176,2.020860644750769,True,
0.5263157894736842,3.0,15.0,27.587089661451152,85.00216141113222,0.3073510113954599,-5.535775488017569,True,
0.631578947368421,3.0,15.0,63.6507364021618,35.427248560426584,0.7887715723732031,2.450167250678442,True,
0.7368421052631579,3.0,15.0,38.01372312061931,64.21395011224341,1.2754653793832766,0.5975631411086377,True,
0.8421052631578947,3.0,15.0,111.78775213606663,58.624719185798995,0.8451104217808402,5.1612246276950104,True,
0.9473684210526315,3.0,15.0,74.45385947322174,52.609454328565654,0.848505305671616,2.870930801433608,True,
1.0526315789473684,3.0,15.0,50.13879629310114,50.997752801179985,0.6514638660882289,0.7429774761550076,True,
1.1578947368421053,3.0,15.0,93.21007986701963,47.590496641974696,0.6018035236434054,2.945299543210117,True,
1.263157894736842,3.0,15.0,36.6033532203876,36.031796181071385,0.1494483203350209,6.8390539673418465,True,
1.3684210526315788,3.0,15.0,32.51516502888497,42.74534941418723,0.751558673293509,7.222203128909085,True,
1.4736842105263157,3.0,15.0,48.706154376204516,33.572474757616156,0.34881050204897246,6.291781465642787,True,
1.5789473684210527,3.0,15.0,95.93796551147368,26.33827804400065,0.5936288878571977,5.1713918338258775,True,
1.6842105263157894,3.0,15.0,41.14102434467835,27.162622934057026,0.33116439955873916,5.330428716377981,True,
1.789473684210526,3.0,15.0,47.78871569458348,24.151693945169058,0.6253177727920002,4.586935122865002,True,
1.894736842105263,3.0,15.0,3.0281525116680332,22.659758755419016,0.27910653113347095,5.3453150399029905,True,
2.0,3.0,15.0,1.6878145176310104,26.83783030389292,0.6610240825311425,4.570878427886736,True,
