tilt_deg,anisotropy,active_curvature,cobb_angle,max_curvature,s_lat,u_cc,runtime_sec,peak_memory_mb,success,error
0.0,3.0,10.0,0.0,139.58637654508547,0.0,-20.5379735320787,11.024766445159912,15.524726867675781,True,
1.5789473684210527,3.0,10.0,0.7325115717941956,139.01047597107205,0.15070291414813303,-20.509431019603515,6.032635688781738,0.17681884765625,True,
3.1578947368421053,3.0,10.0,0.6555720073768204,137.5285648510297,0.2667068675212699,-20.438937351825736,5.6190009117126465,0.168914794921875,True,
4.7368421052631575,3.0,10.0,0.8281719919099005,135.66185251038965,0.33548165344265274,-20.353665609872067,5.647264003753662,0.1707324981689453,True,
6.315789473684211,3.0,10.0,3.8365292945654064,133.84466013966411,0.36231160532052037,-20.272297572599392,5.671515226364136,0.16672134399414062,True,
7.894736842105264,3.0,10.0,8.091489558433116,132.36911989218612,0.35940156563303965,-20.202056968402438,5.660822629928589,0.16906356811523438,True,
9.473684210526315,3.0,10.0,13.17628531807493,131.35971998768616,0.3379474029305129,-20.142711798229932,5.787277460098267,0.16781902313232422,True,
11.052631578947368,3.0,10.0,18.721976375139654,130.52932226771705,0.3050631433446386,-20.090822261436166,5.74010443687439,0.16822147369384766,True,
12.631578947368421,3.0,10.0,24.467340492364535,129.8188142959549,0.2641447591906109,-20.041931326434067,5.517551898956299,0.16826915740966797,True,
14.210526315789474,3.0,10.0,30.25965663750785,129.16634258733117,0.21590795664470008,-19.99083660430089,5.665683746337891,0.17467212677001953,True,
15.789473684210527,3.0,10.0,36.03498847758321,128.49930252936636,0.18516138959337142,-19.930156295915257,5.562631130218506,0.16513633728027344,True,
17.36842105263158,3.0,10.0,41.604841837262285,127.68823277814498,0.2709490452555828,-19.844722252523756,5.585981369018555,0.16700267791748047,True,
18.94736842105263,3.0,10.0,41.67073091832088,126.28678453193254,0.4149878616735351,-19.679921628301308,5.611929655075073,0.16816997528076172,True,
20.526315789473685,3.0,10.0,28.00944017021898,123.87916090929698,0.8715234433953085,-19.005996142871446,5.626938819885254,0.16687583923339844,True,
22.105263157894736,3.0,10.0,64.2973338885925,122.66760376666674,0.6973193885720905,-18.838063051333272,5.607758045196533,0.16723918914794922,True,
23.68421052631579,3.0,10.0,63.0787732232064,122.06575961908518,0.695112344214789,-18.793183483530676,5.898571491241455,0.16952037811279297,True,
25.263157894736842,3.0,10.0,61.41282862056279,121.74943084204486,0.7029472216234666,-18.768525981524817,5.838784217834473,0.16485118865966797,True,
26.842105263157894,3.0,10.0,59.54968268862454,121.56193143507687,0.7178471462701813,-18.75371042207849,6.900993585586548,0.16794872283935547,True,
28.42105263157895,3.0,10.0,57.337129523017374,121.44702023080934,0.7364712362932182,-18.74487096550641,7.206921815872192,0.16655826568603516,True,
30.0,3.0,10.0,54.5551665481911,121.3801203903951,0.7588271710934591,-18.74010159642539,5.994876146316528,0.166259765625,True,
