input_anisotropy,input_active_curvature,mapped_chi_kappa,mapped_chi_tau,runtime_sec,peak_memory_mb,success,error,max_curvature,max_torsion,end_to_end_distance,S_lat,cobb_angle,z_tip,x_tip,y_tip,bending_energy,shear_energy,translational_energy,rotational_energy,gravitational_energy,U_gravity,U_elastic,U_elastic_straight,U_info,U_CC,U_kinetic,info_gain_ratio,torsion_drive,anisotropy
1.0,12.0,60.0,0.0,13.842719078063965,15.520956993103027,True,,152.511678163458,0.0,0.09715554561080199,0.0,0.0,-0.09555911969900462,0.0,-0.01754008794972059,3.8314381809270146,0.013056552843131819,0.03913143218999894,4.847143238414995e-05,-0.3941480199539143,-0.3941480199539143,3.8444947337701465,17.376855977068093,44.18702364390986,-27.20431568679568,0.03917990362238309,2.486467486660548,0.0,1.0
2.0,12.0,60.0,0.0,9.5968918800354,0.16317367553710938,True,,152.511678163458,0.0,0.09715554561080199,0.0,0.0,-0.09555911969900462,0.0,-0.01754008794972059,3.8314381809270146,0.013056552843131819,0.03913143218999894,4.847143238414995e-05,-0.3941480199539143,-0.3941480199539143,3.8444947337701465,17.376855977068093,44.18702364390986,-27.20431568679568,0.03917990362238309,2.486467486660548,0.0,2.0
3.0,12.0,60.0,0.0,9.473692178726196,0.16279983520507812,True,,152.511678163458,0.0,0.09715554561080199,0.0,0.0,-0.09555911969900462,0.0,-0.01754008794972059,3.8314381809270146,0.013056552843131819,0.03913143218999894,4.847143238414995e-05,-0.3941480199539143,-0.3941480199539143,3.8444947337701465,17.376855977068093,44.18702364390986,-27.20431568679568,0.03917990362238309,2.486467486660548,0.0,3.0
5.0,12.0,60.0,0.0,9.392043352127075,0.16141891479492188,True,,152.511678163458,0.0,0.09715554561080199,0.0,0.0,-0.09555911969900462,0.0,-0.01754008794972059,3.8314381809270146,0.013056552843131819,0.03913143218999894,4.847143238414995e-05,-0.3941480199539143,-0.3941480199539143,3.8444947337701465,17.376855977068093,44.18702364390986,-27.20431568679568,0.03917990362238309,2.486467486660548,0.0,5.0
1.0,12.0,60.0,2.5,17.081764459609985,0.16325759887695312,True,,74.12780213322723,89.9625064728706,0.3385216576388247,0.3583942506215188,86.93511851654101,-0.20176485489736026,0.13228470397378392,-0.2374628668094301,35.425404625496064,0.23792976238664904,1.0267105184111465,0.5347290141236156,-0.5739756689764279,-0.5739756689764279,35.66333438788271,6.9244236990598305,2.0743772128888063,4.276070817194596,1.561439532534762,0.27664266879826926,0.5,1.0
2.0,12.0,60.0,2.5,9.248350858688354,0.1643819808959961,True,,95.94654456651735,127.54618801705506,0.3861465466421554,0.3893063353697722,88.89211409581327,-0.35014897227027053,-0.16092378297787882,0.024665538182334423,34.96525042780321,0.35555454628002775,0.9286901358737765,0.5724009038611658,-0.6409835029841985,-0.6409835029841985,35.32080497408324,12.43608964703247,7.867377128650384,3.9277290153978868,1.5010910397349422,0.6016160526440396,0.5,2.0
3.0,12.0,60.0,2.5,9.283822536468506,0.1632833480834961,True,,106.46170938808184,98.35540803886586,0.4951759663021237,0.5797663831009817,61.589347566305115,-0.4180898262153381,-0.1742149372338953,-0.20012318821930722,32.68857845535807,0.2582441011318796,0.7448141651087,0.4659421421458671,-0.5641358151114925,-0.5641358151114925,32.94682255648995,13.288654860682154,11.02963900280915,1.6948800427615112,1.210756307254567,0.7962033976361406,0.5,3.0
5.0,12.0,60.0,2.5,12.856582164764404,0.17424964904785156,True,,128.47862253307258,93.6647175290759,0.5211496883852614,0.18081437005639223,27.808451787741507,-0.5046361331856074,0.1002999035819649,-0.0829415464588256,27.98782701526416,0.40727733918213005,0.7801477452455882,0.5058244649789259,-0.6220143219239191,-0.6220143219239191,28.39510435444629,13.075708633338174,15.470660399143659,-3.0169660877294042,1.285972210224514,1.1294330050090902,0.5,5.0
1.0,12.0,60.0,5.0,9.75660490989685,0.16320228576660156,True,,72.17047882295755,118.93620622866808,0.3146861365137482,1.1381951064224844,62.14845667564094,-0.06471797222248629,-0.24200878353984145,-0.1904486735971795,46.178372617886396,0.7407408397002373,1.5305187277865082,2.4617507183334983,-0.32098986742092217,-0.32098986742092217,46.91911345758663,16.29495626313582,0.4764137252505579,15.49755267046434,3.9922694461200066,0.028672079309070012,1.0,1.0
2.0,12.0,60.0,5.0,8.593549489974976,0.16410541534423828,True,,75.67748336901889,112.6564053800404,0.48889511667324437,0.7556434196333318,98.13398069177079,-0.4231034071682012,-0.22247079900252506,-0.10251187999828433,40.73514463406157,1.0237583519684428,1.6245321766408545,2.3182131815743543,-0.6311723776408795,-0.6311723776408795,41.75890298603001,16.31930218997711,6.292266813673138,9.395862998663091,3.942745358215209,0.37121478744281416,1.0,2.0
