anisotropy,cobb_angle,max_curvature,s_lat,u_cc,runtime_sec,peak_memory_mb,success
1.0,99.20267963711512,142.38195921515648,0.5208444802075674,-39.018428527765195,7.853753089904785,15.57204532623291,True
2.0,6.252936236477245,156.1551825400325,0.2413235915042179,-34.696464750622816,6.260483980178833,0.16325855255126953,True
3.0,65.51780745028181,148.44757113370179,0.9388672918693388,-38.14481419853787,6.237867593765259,0.1616649627685547,True
4.0,27.74554536487628,149.34929864423134,1.9327934284945807,-38.912651129720174,6.299363136291504,0.16141033172607422,True
5.0,8.602316400397525,124.3855819445602,0.715855426459381,-33.353984999323785,7.698832988739014,0.15919971466064453,True
6.0,20.887937759309526,128.11880580830882,0.22971957504564836,-33.84016812808305,6.212577819824219,0.16267681121826172,True
8.0,1.260543015780991,156.52071154575893,0.16864066441761746,-37.322596623218374,6.200653791427612,0.16042613983154297,True
10.0,7.483227453814068,132.94709704810998,0.06722187415303099,-34.83746810002691,6.224951982498169,0.16089344024658203,True
12.0,2.0232338877759712,149.9286691128637,0.0638927552840419,-38.4841553676025,6.224685430526733,0.1608877182006836,True
15.0,8.27818867216414,144.44412200269377,0.3796577087067225,-37.66807676312371,6.25042986869812,0.16541004180908203,True
