tilt_deg,max_dev_sagittal_x,max_dev_lateral_y,sagittal_index_y,tip_z_local
0.0,0.06445479840418852,0.0,0.0,-0.23735173614543958
15.0,0.08607903105284055,0.0,0.0,-0.23397734037235776
30.0,0.10682220700676123,0.0,0.0,-0.2241334455676495
45.0,0.12624938732412638,0.0,0.0,-0.20951309464073298
60.0,0.14384837011249724,0.0,0.0,-0.19088922704451994
75.0,0.15915999624419844,0.0,0.0,-0.16844615400178384
90.0,0.1717261708097802,0.0,0.0,-0.14233098167048805
