Normalized_Position,Lenke_Type_1,Lenke_Type_2,Lenke_Type_3,Lenke_Type_4,Lenke_Type_5,Lenke_Type_6
0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
0.010101010101010102,-0.0,0.0,-0.0,-0.0,-0.0,0.0
0.020202020202020204,0.0031990945920880843,0.003220115247247139,0.0035832799761645905,0.0035813676769084354,0.004410784610474709,0.004161444162242667
0.030303030303030304,0.008847834540625897,0.008905112574799881,0.009895719383750695,0.009890727130968089,0.012164037599535675,0.01147886571573451
0.04040404040404041,0.016836593850994702,0.016943787114994537,0.018799875609259907,0.018790997223616056,0.023073630672090485,0.021779120411057153
0.05050505050505051,0.027055758483729306,0.02722494851837834,0.030158366618500465,0.030145155435995562,0.03695352106521941,0.03488915692637825
0.06060606060606061,0.039395737148893266,0.03963743405934647,0.043833925465773395,0.0438162906184872,0.053617828259644756,0.050636100253547985
0.07070707070707072,0.053746975114167476,0.05407012539775704,0.05968946982792943,0.059667670283781504,0.07288093157702816,0.06884735783088893
0.08080808080808081,0.06999997087857279,0.07041196881529373,0.07758818572297899,0.07756282163205812,0.09455758735606315,0.08935074702316353
0.09090909090909091,0.08804529556379702,0.08855199874541497,0.09739362457406969,0.09736562549789166,0.1184630644021633,0.1119746425514899
0.10101010101010102,0.10777361487516887,0.10837936441584088,0.11896981278128904,0.11894042241004983,0.1444132964081888,0.13654814247929511
0.11111111111111112,0.1290757134844186,0.12978335942266292,0.14218137296598235,0.1421521299574371,0.17222505004726724,0.16290125136490669
0.12121212121212122,0.15184252168649112,0.15265345405535502,0.16689365605518944,0.16686637065717247,0.20171610744343302,0.19086507919723916
0.13131313131313133,0.17596514418284576,0.17687933019220192,0.19297288337744983,0.19294960952419696,0.2327054617316703,0.22027205473837344
0.14141414141414144,0.2013348908438622,0.20235091858594356,0.22028629794568705,0.2202693005459988,0.26501352442608334,0.25095615190576975
0.15151515151515152,0.22784330930321886,0.22895843835978144,0.24870232410820942,0.24869404127102454,0.29846234332343535,0.28275312783753787
0.16161616161616163,0.2553822192373795,0.2565924385342959,0.2780907347551205,0.278093734725213,0.3328758296792626,0.3155007712966903
0.17171717171717174,0.28384374818364755,0.28514384140630467,0.30832282527466376,0.30833975787786605,0.368079993405292,0.349039160084751
0.18181818181818182,0.3131203687506171,0.31450398760120973,0.3392715934622791,0.3393051358858043,0.4039031850499698,0.3832109261515222
0.19191919191919193,0.34310493707525985,0.34456468262101125,0.37081192459447493,0.3708647213534933,0.440176343338689,0.4178615271063613
0.20202020202020204,0.3736907323813608,0.3752182447108297,0.40282078089002676,0.4028953778565939,0.47673324706674614,0.45283952285698925
0.21212121212121213,0.4047714974945316,0.40635755386755634,0.43517739459259563,0.43527616698722565,0.5134107701562669,0.48799685612472143
0.22222222222222224,0.43624148016959474,0.43787610181506126,0.46776346392154533,0.46788853819114096,0.5500491387083017,0.5231891356101341
0.23232323232323235,0.46799547508677164,0.46966804277133045,0.5004633511516499,0.5006165206800408,0.586492188903075,0.5582759206105726
0.24242424242424243,0.49992886637377687,0.5016282448338829,0.5331642820974803,0.5333469167164179,0.6225876246249025,0.5931210059205559
0.25252525252525254,0.5319376705116776,0.5336523418109073,0.5657565462945544,0.5659694955835918,0.6581872737137222,0.6275927058781541
