gravity,gravity_label,s,x_info,z_info,x_passive,z_passive,kappa_info,kappa_passive
9.81,1g (Earth),0.0,0.0,0.0,0.0,0.0,3.9555427791420814,4.007848
9.81,1g (Earth),0.00404040404040404,0.00404040404040404,0.0,0.00404040404040404,0.0,3.9319977609356696,3.967286214876033
9.81,1g (Earth),0.00808080808080808,0.008080295150427469,6.437879205894236e-05,0.008080283694902778,6.509367773029493e-05,3.9091559478193827,3.9267260312213046
9.81,1g (Earth),0.012121212121212121,0.012118659646251143,0.00019274159268318458,0.01211861160626614,0.00019460232615552613,3.888254756260864,3.8861674490358125
9.81,1g (Earth),0.01616161616161616,0.016154501188404127,0.00038469954731265354,0.016154392477537166,0.0003878316427619131,3.8691194048175523,3.8456104683195598
9.81,1g (Earth),0.0202020202020202,0.020186839011110288,0.0006398788828526178,0.020186662969035426,0.0006440727267154045,3.8514456353238287,3.8050550890725434
9.81,1g (Earth),0.024242424242424242,0.024214706474706964,0.0009579174110415636,0.024214491570256607,0.0009626030532118362,3.8347850631351426,3.764501311294766
9.81,1g (Earth),0.028282828282828285,0.028237150146404478,0.0013384587592994363,0.028236978447827826,0.0013426874247408952,3.8185368042337133,3.7239491349862255
9.81,1g (Earth),0.03232323232323232,0.032253229631296725,0.0017811441789158155,0.0322532552706595,0.0017835788990271956,3.801947472498423,3.683398560146924
9.81,1g (Earth),0.03636363636363636,0.03626201837673924,0.002285601911661318,0.03626248501341492,0.0022845196934516564,3.784121367845019,3.6428495867768595
9.81,1g (Earth),0.0404040404040404,0.04026260565437018,0.0028514342576532307,0.040263861739398076,0.002844742065794657,3.7640421697597923,3.6023022148760333
9.81,1g (Earth),0.044444444444444446,0.04425409988148919,0.0034782026714943845,0.0442566103639393,0.0034634691711791666,3.7406067176985296,3.5617564444444447
9.81,1g (Earth),0.048484848484848485,0.04823563337522767,0.004165411408307272,0.04823998639933607,0.00413991589512717,3.7126705332605585,3.521212275482094
9.81,1g (Earth),0.052525252525252523,0.05220636853936735,0.004912490430886465,0.05221327568238406,0.004873289662676335,3.6791036796582155,3.480669707988981
9.81,1g (Earth),0.05656565656565657,0.05616550536829578,0.005718778456058535,0.05617579408551024,0.005662791223535901,3.6388544474302504,3.440128741965105
9.81,1g (Earth),0.06060606060606061,0.0601122900224153,0.006583507143983232,0.0601268872124964,0.006507615413291373,3.5910173066266604,3.399589377410469
9.81,1g (Earth),0.06464646464646465,0.06404602409481068,0.007505787501243923,0.06406593007975761,0.007406951890696692,3.534900690537526,3.3590516143250695
9.81,1g (Earth),0.06868686868686869,0.06796607406352459,0.008484599563132921,0.06799232678411554,0.008359985851120168,3.470089589360348,3.3185154527089074
9.81,1g (Earth),0.07272727272727272,0.07187188032255286,0.00951878633381262,0.07190551015798219,0.009365898716236708,3.3964977345845506,3.2779808925619833
9.81,1g (Earth),0.07676767676767676,0.075762965122838,0.010607052793234767,0.07580494141284463,0.010423868800083697,3.3144044182883503,3.2374479338842974
9.81,1g (Earth),0.0808080808080808,0.07963893874516027,0.011747970532940511,0.07969010977191639,0.01153307195162131,3.22447174611801,3.19691657667585
9.81,1g (Earth),0.08484848484848485,0.08349950327855601,0.012939988273244885,0.08356053209279567,0.012692682173960208,3.1277393467984003,3.1563868209366395
9.81,1g (Earth),0.08888888888888889,0.08734445349302872,0.014181448163027726,0.08741575248094557,0.013901872220440314,3.0255951767877574,3.1158586666666666
9.81,1g (Earth),0.09292929292929293,0.09117367446856528,0.015470607396879022,0.09125534189478615,0.015159814167764045,2.9197229350630622,3.075332113865932
9.81,1g (Earth),0.09696969696969697,0.0949871358607909,0.01680566433188888,0.09507889774316235,0.016465679966405484,2.8120285665617972,3.0348071625344355
9.81,1g (Earth),0.10101010101010101,0.09878488292731787,0.018184787976961755,0.0988860434759271,0.0178186419685343,2.7045501858597074,2.994283812672177
9.81,1g (Earth),0.10505050505050505,0.10256702468393905,0.019606149487111705,0.10267642816835323,0.019217873433708992,2.5993572966711094,2.953762064279155
9.81,1g (Earth),0.10909090909090909,0.10633371978104905,0.0210679541440754,0.10644972610006277,0.02066254901260891,2.4984462434334698,2.9132419173553723
9.81,1g (Earth),0.11313131313131314,0.11008516086505872,0.022568472255568132,0.11020563632913717,0.02215184520908819,2.4036392818676324,2.8727233719008263
9.81,1g (Earth),0.11717171717171718,0.11382155829952967,0.024106067462829204,0.11394388226204717,0.023684940820847336,2.316494434625342,2.8322064279155192
9.81,1g (Earth),0.12121212121212122,0.11754312415643613,0.025679221105173594,0.11766421122001634,0.025261017359029837,2.2382324193739946,2.7916910853994494
9.81,1g (Earth),0.12525252525252525,0.12125005734825492,0.027286551538253694,0.12136639400240776,0.026879259447061748,2.169685487707264,2.751177344352617
9.81,1g (Earth),0.1292929292929293,0.12494253066380341,0.02892682761979472,0.12505022444769925,0.028538855199061804,2.111271145892549,2.7106652047750233
9.81,1g (Earth),0.13333333333333333,0.12862068030905788,0.030598975937626546,0.12871551899258876,0.03023899657815841,2.062991639634576,2.6701546666666673
9.81,1g (Earth),0.13737373737373737,0.1322845983572156,0.03230208173178538,0.13236211622974725,0.03197887973505758,2.024457992271346,2.6296457300275486
9.81,1g (Earth),0.1414141414141414,0.13593432830034927,0.03403538382660521,0.13598987646471408,0.033757705327212874,1.9949355002892515,2.5891383948576676
9.81,1g (Earth),0.14545454545454545,0.1395698636875967,0.035798264213297654,0.1395986812724061,0.035574678818954625,1.9734060911325289,2.5486326611570247
