gravity,gravity_label,countercurvature_energy,shape_preservation_index,D_geo,D_geo_norm
9.81,1g (Earth),0.0013154041988954308,25470114.091992784,0.18801290508839516,0.09060502651790309
0.981,0.1g,0.0013098057591398626,23.524989891206182,0.1879967147501326,0.09072314314868257
0.0981,0.01g,0.0013092465934428754,21.307122408004016,0.18799510827602695,0.09073497860618694
