load_tilt_deg,proxy_defect,cobb_angle,s_lat,max_curvature,max_torsion
0.0,0.0,42.47941307585024,0.27537344467882285,150.18213624664017,109.14764161918598
2.0,0.017449748351250485,42.008842168485074,0.28592442416995617,150.3690084623727,108.38906450792791
4.0,0.03487823687206265,41.71511179050824,0.30045100982301737,150.58378934621294,106.77250291903628
6.0,0.052264231633826735,41.27414154485307,0.31244714686986147,150.71914264976525,105.68695329990621
8.0,0.06958655048003272,52.72273752553775,0.7140578075337255,148.9578626889756,117.53701962949239
10.0,0.08682408883346517,46.881116066475656,0.3324780324062129,144.2016673938746,131.9235133170722
12.0,0.10395584540887967,2.626154768699525,0.6750335467554258,126.22624094191504,143.64818966079574
14.0,0.12096094779983387,12.087307448848037,0.6383336226456708,136.89059750199814,144.67026943528313
16.0,0.13781867790849958,1.764443644496421,0.4950350934648526,140.10791805292126,140.6683961093642
18.0,0.1545084971874737,2.4359990826107807,0.48850164566308424,140.22981138987694,140.68279215839456
20.0,0.17101007166283436,72.87748302453782,0.7425590539608447,154.7606822446389,125.29009459142961
22.0,0.187303296707956,60.88346214417625,0.4741166521595635,156.25169968419362,119.51881525706004
24.0,0.2033683215379001,41.455326542034854,0.8218249186545191,150.40269006481267,117.74912470882961
26.0,0.2191855733945387,21.306439873653115,0.4773976979656187,143.03394273844802,110.3835017087361
28.0,0.2347357813929454,8.59388645853883,0.25577063603150024,147.2459572449015,102.03932854287032
30.0,0.24999999999999997,11.661324112188364,0.2734247499365926,136.92886552690211,103.18790202867629
